,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly
0,14%,Barossa Valley Estate,Screw Cap,Australia,2016*,Shiraz,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
1,14.5%,Secret Selection,Screw Cap,Australia,2017,McLaren Vale Shiraz 2017,Online Offer$29.00 per bottle,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,,,,
2,14.50%,Secret Selection,Screw Cap,Australia,2016,Single Vineyard McLaren Vale Shiraz 2016,Online Offer$29.90 per bottle,$74.99 per bottle,$427.80 per case of 6,$71.30 in any six,McLaren Vale,750mL,8.6,South Australia,Shiraz,,Dry,,,,
3,14.3%,St Hugo,Screw Cap,Australia,2016*,Shiraz,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,,,,
4,14.5%,Penfolds,Screw Cap,Australia,,St Henri Shiraz 2015,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,,"McLaren Vale, Robe, The Peninsulas, Barossa Valley, Wrattonbully, Adelaide Hills, Mt Benson",750mL,8.6,South Australia,Shiraz Cabernet Sauvignon,,,,,,
5,14.5%,Secret Selection,Screw Cap,Australia,2017,McLaren Vale Shiraz 2017,Online Offer$29.00 per bottle,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,,,,
6,14.5%,Pepperjack,Screw Cap,Australia,2016*,Shiraz,$18.95 in any six,$113.70 per case of 6,$18.95 per bottle,"Awards: Canberra Wine Show Bronze, Hobart Wine Show Bronze",Barossa,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 50 of 108 Shiraz from Barossa Valley,,
7,13.5%,Epic Negociants,Screw Cap,Australia,2017*,The Rise McLaren Vale Shiraz 2017,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.0,South Australia,Shiraz,,,,,,
8,14.5%,Penfolds,Screw Cap,Australia,,St Henri Shiraz 2015,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,,"McLaren Vale, Robe, The Peninsulas, Barossa Valley, Wrattonbully, Adelaide Hills, Mt Benson",750mL,8.6,South Australia,Shiraz Cabernet Sauvignon,,,,,,
9,14.5%,Krondorf,Screw Cap,Australia,2017,Shiraz Cabernet,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa  Valley,750mL,8.6,South Australia,Shiraz Cabernet,,,,,,
10,14.5%,Pepperjack,Screw Cap,Australia,2016*,Shiraz,$18.95 in any six,$113.70 per case of 6,$18.95 per bottle,"Awards: Canberra Wine Show Bronze, Hobart Wine Show Bronze",Barossa,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 50 of 108 Shiraz from Barossa Valley,,
11,14.5%,Penfolds,Screw Cap,Australia,,Bin 389 Cabernet Shiraz 2016,$81.60 in any six,$489.60 per case of 6,$85.90 per bottle,,"Barossa Valley, Coonawarra, McLaren Vale, Padthaway, Wrattonbully",750mL,8.6,South Australia,Cabernet Sauvignon Shiraz,,,,,,
12,15%,Rockcliffe,Screw Cap,Australia,2017,Third Reef Shiraz 2017,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,,Great Southern,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,,,,
13,14.20%,Gibson,Screw Cap,Australia,2016,Isabelle Cabernet Merlot 2016,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,Ranked 17 of 30 Cabernet Sauvignon from South Australia,,750mL,8.4,,Cabernet Merlot,Medium Bodied,,,,,
14,14.6%,Jacobs Creek,Screw Cap,Australia,2013,Double Barrel Shiraz 2013,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,,Barossa  Valley,750mL,8.7,South Australia,Shiraz,,,,,,
15,13.8%,Wynns,Screw Cap,Australia,2016*,Black Label Cabernet Sauvignon,$32.30 in any six,$193.80 per case of 6,$33.99 per bottle,Awards: 2015 Vintage voted People's Choice Award - Best Wine of the World Competition 2018,Coonawarra,750mL,8.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Excellent,
16,14.5%,Secret Selection,,Australia,2009,Barossa Valley Shiraz Mataro 2009,Online Offer$35.90 per bottle,$90.30 in any six,$541.80 per case of 6,$95.00 per bottle,Barossa  Valley,750mL,8.6,South Australia,"Mourvedre, Syrah",,,,,,
17,14.5%,Ulithorne,Screw Cap,Australia,2016*,Dona GSM 2016,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,Awards: Ray Jordan's Top 100 Reds in The West Australian,McLaren Vale,750mL,8.6,South Australia,Red Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
18,14.5%,Kangarilla Road,,Australia,2014,Cabernet Sauvignon 2014,$20.90 in any six,$125.40 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
