,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Vegan Friendly,Organic
0,14.5%,Brothers in Arms,Screw Cap,Australia,2014*,No. 6 Shiraz Cabernet,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
1,14%,Hollick,Screw Cap,Australia,2016,Cabernet Sauvignon,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
2,13%,Punt Road,,Australia,2017*,Cabernet Sauvignon,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,
3,14.2% (2014),Mad Dog,Cork,Australia,2014*,Shiraz,$26.59 in any six,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
4,13.50%,Renmano,Cask Closure,Australia,Non Vintage,Shiraz Cabernet Cask 2L,$8.99 each,$51.30 per case of 6,,,,2L,21.3,,Shiraz Cabernet,,Dry,,,,,
5,14.0%,Mount Majura,Screw Cap,Australia,2016,Shiraz,$23.70 in any six,$284.40 per case of 12,$24.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,8.3,Australian Capital Territory,Shiraz,Full Bodied,Dry,Ranked 338 of 555 Shiraz from Australia,,,,
6,14.00%,Seppelt,Screw Cap,Australia,,St Peters Great Western Shiraz 2008,$69.99 per bottle,$399.00 per case of 6,$66.50 in any six,Ranked 3 of 16 Shiraz from Grampians,Grampians,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,Outstanding,,,
7,14%,Best's Great Western,Screw Cap,Australia,2012,Bin 0 Shiraz 2012,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 5 of 15 Shiraz from Grampians,Grampians,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,,
8,14.5% (2014),Nosey Parker,Screw Cap,Australia,2014*,Shiraz,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
9,14.5%,Brothers In Arms,Cork,Australia,2012*,Shiraz,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
