,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
0,13.5% (2014),TarraWarra Estate,Screw Cap,Australia,2014*,Reserve Pinot Noir,$53.20 in any six,$319.20 per case of 6,$55.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8 (2010),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
1,14.50%,Chapel Hill,Screw Cap,Australia,,McLaren Vale Shiraz 2011,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Ranked 11 of 100 Shiraz from McLaren Vale,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
2,14%,Chapel Hill,Screw Cap,Australia,2017,The Parson Grenache Shiraz Mourvèdre,Member Offer$10.00 per bottle,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,McLaren Vale,750mL,8.3,South Australia,Grenache Shiraz Mourvèdre,,Dry,"Awards: Gold Medal – Decanter World Wine Awards 2018
Gold Medal – International Wine Challenge UK 2018","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
3,13.5% (2017),McWilliam's,Screw Cap,Australia,2017*,McW Reserve 660 Tumbarumba Pinot Noir,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Tumbarumba,750mL,8,New South Wales,Pinot Noir,Light Bodied,Dry,,,,,
4,14.50%,Wendouree,Cork,Australia,,Shiraz Mataro 2000,$109.99 per bottle,,,,Clare Valley,750mL,8.7,South Australia,Shiraz Mataro,,Dry,,,Outstanding,,
5,14.2% (2013),Glaetzer-Dixon,Cork,Australia,2013*,La Judith Pinot Noir,$209.00 in any six,"$1,254.00 per case of 6",$219.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.4 (2013),Tasmania,Pinot Noir,Light Bodied,Dry,Ranked 42 of 108 Pinot Noir from Tasmania,,,,
6,14.0%,Barossa Valley Estate,Screw Cap,Australia,2016*,Grenache Shiraz Mourvèdre,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"Awards: 2 x Gold Medals - Sydney Royal Wine Show 2017, China Wine and Spirits Awards 2017",Barossa,750mL,8.3,,GSM,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
7,13.0%,Shadowfax,Screw Cap,Australia,2018*,Minnow Rose,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,Victoria,Red Blend,Light Bodied,Dry,,,,,
8,13.5%,Suckfizzle,Screw Cap,Australia,2013*,Cabernet Sauvignon,$52.25 in any six,$313.50 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
9,13.9%,La Cantina King Valley,Cork,Australia,,No Preservatives Added Shiraz 2016,$18.00 per bottle,$216.00 per case of 12,,,,750mL,8.2,Victoria,Shiraz,Full Bodied,Dry,,,,true,
