,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Vegan Friendly,Langtons Classified,Organic
0,14.00%,Voyager Estate,Screw Cap,Australia,2010*,Project U12 North Block Cabernet Sauvignon,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.""",Ranked 11 of 62 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
1,14.5%,Brothers in Arms,Screw Cap,Australia,2013*,Cabernet Sauvignon,$44.70 in any six,$268.20 per case of 6,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Langhorne Creek,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
2,14%,Shanahans,Screw Cap,Australia,2015*,Silence is Golden Shiraz,$24.99 per bottle,$142.50 per case of 6,$23.75 in any six,Awards: Gold Medals - China Wine & Spirits Best Value 2017; AWC Vienna 2016; China Wine & Sprits 2016; Concours Mondial Bruxelles 2016; AWC Vienna 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
3,14.5%,Penfolds,Screw Cap,Australia,,Bin 150 Marananga Shiraz 2016,$84.60 in any six,$507.60 per case of 6,$88.99 per bottle,,,"Marananga, Barossa Valley",750mL,8.6,South Australia,Shiraz,,,,,,
4,12.5%,Cuppa Cup,,Australia,2017,Rosé,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Rosé,,,,,,
5,13.5%,The Blackwood,Screw Cap,Australia,2017*,Tweed River Cabernet Sauvignon,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
6,14.0% (2012),The Yard,Screw Cap,Australia,2012*,Acacia Shiraz,$28.49 in any six,$341.88 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 15 Shiraz from Frankland River,Great Southern,750mL,8.3 (2012),Western Australia,Shiraz,Full Bodied,Dry,,,,
7,14.5%,Watershed,Screw Cap,Australia,2014*,Senses Shiraz,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,,,,
8,13.4% (2016),Lightfoot & Sons,Screw Cap,Australia,2016*,Pinot Noir,$27.55 in any six,$330.60 per case in 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 10 of 16 Pinot Noir from Gippsland,Gippsland,750mL,7.9 (2016),Victoria,Pinot Noir,Light Bodied,Dry,,,,
9,14.5%,Château Tanunda,Screw Cap,Australia,2016,Newcastle Syrah Grenache Mourvedre Carignan Cinsault,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,Awards: Gold Medal - Berlin Wine Trophy 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Red Blend,,Dry,Ranked 17 of 22 Red Blend from Australia,,,
10,14.5%,Hentley Farm,Screw Cap,Australia,2017*,The Marl Cabernet Sauvignon,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
11,13.5% (2015),Yalumba,Screw Cap,Australia,2015*,Y Series Merlot,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8 (2015),South Australia,Merlot,Medium Bodied,Dry,,true,,
12,14.5%,Kirrihill,Screw Cap,Australia,2016*,Regional Range Shiraz,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,Awards: Gold Medal - New World Wine Awards New Zealand 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 10 of 21 Shiraz from Clare Valley,,,
13,13.5% (2014),Yeringberg,Cork,Australia,2014*,Shiraz,Delivery Offer$71.90 per bottle,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8 (2013),Victoria,Shiraz,Full Bodied,Dry,Ranked 5 of 17 Shiraz from Yarra Valley,,,
