,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Vegan Friendly,Price Option 3,Price Option 4,Langtons Classified,Organic
0,12.5\t,Beelgara Black,Screw Cap,Australia,Shiraz 2016,$17.99 per bottle,$101.94 per case of 6,Awards: Cairns Wine Show,"Clare Valley, SA",750mL,7.4,South Australia,Shiraz,Full Bodied,,,,,,,
1,14.5\t,Atlas Wines,Screw Cap,Australia,Shiraz 2015,$25.00 per bottle,$275.00 per case of 12,,Clare Valley,750mL,8.6,,Shiraz,Full Bodied,,,,,,,
2,13.4%,James Estate Wines,Screw Cap,Australia,"""Estate"" Rose 2017",$14.95 per bottle,$179.40 per case of 12,Awards: Hunter Valley Wine Show 2018,Hunter Valley,750mL,7.9,New South Wales,"Cabernet Franc, Merlot",Light Bodied,Dry,,,,,,
3,15.1,Black Knight,Screw Cap,Australia,Red Heart Shiraz 2015,$18.00 per bottle,$220.00 per case of 12,,,750mL,8.9,,Shiraz,Full Bodied,Dry,,,,,,
4,13.8,Welshmans Reef Vineyard,Screw Cap,Australia,Cabernet Sauvignon 2013,$22.00 per bottle,$240.00 per case of 12,,,750mL,8.2,,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
5,14.3,Oakover Wines,Cork,Australia,Heritage Estate Cabernet Sauvignon 2017 by Oakover Wines,$80.00 per bottle,$960.00 per case of 6,,Swan Valley,750ml,8.5,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
6,13.0%,Goldman Wines,Screw Cap,Australia,Flamingo Rose,$19.99 per bottle,$99.99 per case of 6,,Alpine Valleys,750mL,7.7,Victoria,,,Dry,,,,,,
7,12.5%,Artwine,,Australia,St.Vincent Pinot Noir 2017,$35.00 per bottle,$210.00 per case of 6,Awards: Bronze Medal - Adelaide Hills Wine Show 2018,Adelaide Hills,750mL,7.4,South Australia,Pinot Noir,Light Bodied,Dry,2015,true,,,,
8,12.5,Artwine,Screw Cap,Australia,Temptress Rose,$22.00 per bottle,$132.00 per case of 6,,Clare Valley,750ml,7.4,South Australia,Tempranillo,Light Bodied,Dry,,true,,,,
9,14%,Curator Wine Co,Cork,Australia,2016 Cabernet Sauvingon 750ml,$39.00 per bottle,,,Barossa Valley,750ml,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,,
10,15.5%,Curator Wines,Cork,Australia,2013 Cabernet Sauvignon 750ml,$79.00 per bottle,$474.00 per case of 6,"Awards: James Halliday 93 points
Dark red; dark fruits and a spicy note dominate the powerful and densely packed bouquet; the full-bodied palate has admirable texture and presence, the finish long and sweetly fruited.",Barossa Valley,750ml,9.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
11,15%,The Blackwood,Screw Cap,Australia,Sir Henry Shiraz 2014,$37.50 per bottle,$180.00 per case of 6,"Awards: GOLD Timber Towns Wine Show 2016
GOLD 95 pts Wine Showcase Shiraz 2015
93 pts West Australian Wine Guide 2018 Ray Jordan 
90 pts James Halliday Wine Companion 2017",Blackwood Valley,750mL,8.6,Western Australia,Shiraz,,,,,,,,
12,,,,,Unknown,,,,,,,,,,,,,,,,
13,,The Blackwood,Screw Cap,Australia,The Blackwood Western Australia El Toro Rojo Tempranillo 2015 750ml,$25.80 per bottle,$132.00 per case of 6,"Awards: 94 Points - Gold Wine Showcase - Best New Release
91 Points - West Australian Wine Guide 2016 Ray Jordan",,750ml,,Western Australia,Tempranillo,,,,,,,,
14,13.8%,Stockman's Ridge Wine,Crown Seal,Australia,Rider Pinot Noir 2015,$25.00 per bottle,$300.00 per case of 12,,Orange,750mL,8.2,New South Wales,Pinot Noir,Light Bodied,Dry,,,,,,
15,14%,Curtis Limited Series,Cork,Australia,McLaren Vale Shiraz 2015,$100.00 per bottle,$400.00 per case of 6,"Awards: 94 Points - Wine Companion James Halliday
96 Points - Wine Orbit Sam Kim",McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,,
16,13.4%,Oakdene Wines,Screw Cap,Australia,Bellarine Peninsula Shiraz 2017,$129.60 per pack of 6,$259.20 per case of 12,,Geelong,750mL,7.9,Victoria,Shiraz,Medium Bodied,Dry,,true,,,,
17,13.8%,Oakdene Wines,Screw Cap,Australia,Single Vineyard William Shiraz 2017,$232.20 per pack of 6,$464.40 per case of 12,Awards: 93 Points The Wine Front 2018,Geelong,750mL,8.2,Victoria,Shiraz,Medium Bodied,Dry,,true,,,,
18,14.5,Grove Estate,Screw Cap,Australia,Sommita Nebbiolo,$53.33 per bottle,$320.00 per case of 6,"Awards: 2017 National Cool climate Wine show 2 trophies and Gold
2017 Australian Small Winemakers Show Silver
2017 Rutherglen Wine Show Silver
2017 Winewise Small Vignerons Awards SBronze
2017 AAVWS Bronze
95 Points Halliday Wine Companion 2019
4 Stars Harpers Wine Stars London",Hilltops,750ml,8.6,New South Wales,Nebbiolo,Medium Bodied,Dry,,,,,,
19,13,Pete's Pure,Screw Cap,Australia,Rose,$14.99 per bottle,$179.88 per case of 12,,Murray Darling,750,7.7,New South Wales,Rose,Light Bodied,Semi Dry,,true,,,,
20,14.7%,Merindoc,Screw Cap,Australia,Single Vineyard Shiraz 2016,$49.00 per bottle,$294.00 per case of 6,,Heathcote,750mL,8.7,,Shiraz,Medium Bodied,Dry,,,,,,
21,13.5%,Merindoc,Screw Cap,Australia,Willoughby Bridge Tempranillo 2017,$33.00 per bottle,$198.00 per case of 6,Awards: Bronze Medal at the Victorian Wine Show November 2018,Heathcote,750mL,8.3,,Tempranillo,Medium Bodied,Dry,,,,,,
22,13.2%,Nuova Scuola,Screw Cap,Australia,Mixed Pack,$140.00 per pack of 6,$264.00 per case of 12,,South Burnett,750mL,7.8%,Queensland,,,,,,,,,
23,13%,Nuova Scuola,Screw Cap,Australia,2017 Nebbiolo,$140.00 per pack of 6,$264.00 per case of 12,,,750mL,7.7,,Nebbiolo,Light Bodied,Dry,,,,,,
24,15%,Freeman & Lane,,Australia,Mt Lofty Central Ranges 2010 Merlot,$16.90 per bottle,$87.00 per case of 6,,Mt Lofty Ranges,750mL,8.89,South Australia,Merlot,Full Bodied,Dry,,,,,,
25,13.5%,Tuck's NOW,Screw Cap,Australia,Pinot Noir 2017,$29.00 per bottle,$165.00 per case of 6,,Mornington Peninsula,750 mL,8,Victoria,Pinot Noir,Medium Bodied,,,true,,,,
26,14%,Cornella Ridge Estate,Screw Cap,Australia,2010 Heathcote Shiraz,$29.95 per bottle,$279.95 per case of 12,,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,true,,,,
27,14.5%,The Shiraz Republic,Screw Cap,Australia,2013 Heathcote Shiraz,$24.95 per bottle,$239.95 per case of 12,,Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,true,,,,
28,10%,Shaw Wines,Screw Cap,Australia,Riscato,$15.99 per bottle,$95.94 per case of 6,,Canberra District,750mL,5.9,New South Wales,"Riesling, Semillon",Light Bodied,Sweet,,,,,,
29,13.5%,Shaw Wines,Screw Cap,Australia,Winemakers Selection Shiraz,$20.99 per bottle,$125.94 per case of 6,,Canberra District,750mL,8,New South Wales,Shiraz,Full Bodied,Dry,,,,,,
30,13.5%,Gapsted Wines,Screw Cap,Australia,Limited Release Saperavi,$29.99 per bottle,$162.00 per case of 6,Awards: Silver 90 Point - 2019 Halliday Wine Companion 2019,High Country,750mL,8.0,Victoria,Saperavi,Full Bodied,Red Varietals,,,,,,
