,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,Varietal,Wine Style,Price Option 4,State,Wine Body,Langtons Classified,Price Option 5,Vegan Friendly
0,13.00%,Shadowfax,Screw Cap,Australia,2014*,Minnow,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Port Phillip,750mL,7.7,Carignan Mataro Grenache Cinsault Mondeuse,Dry,,,,,,
1,,,,,,Unknown,,,,,,,,,,,,,,,
2,13.50%,La Linea,Screw Cap,Australia,2013*,Tempranillo,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8,Tempranillo,Dry,Ranked 7 of 22 Tempranillo from South Australia,South Australia,Full Bodied,,,
3,13.50%,Castagna,Cork,Australia,2002,Genisis Syrah 2002,$84.99 per bottle,,,,Beechworth,750mL,8,Shiraz,Dry,,Victoria,Full Bodied,Excellent,,
4,13.5% (2008),Tim Adams,Screw Cap,Australia,2008*,Reserve Tempranillo,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8 (2008),Tempranillo,Dry,Ranked 13 of 20 Tempranillo from South Australia,South Australia,Full Bodied,,,
5,13.6% (2013),Quarry Hill,Screw Cap,Australia,2013*,Shiraz,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,Awards: Gold - Canberra Regional Wine Show 2013,Canberra District,750mL,8.0 (2013),Shiraz,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Australian Capital Territory,Full Bodied,,,
6,14.5%,McLaren Vale III Associates,,Australia,2016*,Renaissance Merlot Cabernet Petit Verdot,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,Merlot Cabernet Sauvignon Petit Verdot,Dry,,South Australia,,,,
7,14.2% (2012),Bethany,Screw Cap,Australia,2012*,Shiraz Cabernet,$16.15 in any six,$193.80 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.4 (2012),Shiraz Cabernet,Dry,,South Australia,Full Bodied,,,
8,13.8% (2015),Capital Wines,Screw Cap,Australia,2015*,The Frontbencher Shiraz 750mL,$24.69 in any six,$296.28 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,8.2 (2015),Shiraz,Dry,,New South Wales,Full Bodied,,,
9,13.0% (2008),Tomboy Hill,Screw Cap,Australia,2008*,Rebellion Pinot Noir,$36.10 in any six,$433.20 per case of 12,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ballarat,750mL,7.7 (2008),Pinot Noir,Dry,,Victoria,Light Bodied,,,
