,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
0,13.5%,Teal Lake,Cork,Australia,2017*,Shiraz,$13.88 in any six,$166.56 per case of 12,$13.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Shiraz,Full Bodied,Dry,,,,,,
1,13.50%,Henschke,Cork,Australia,1990,Hill of Grace Shiraz 1990,$999.00 per bottle,Ranked 5 of 16 Shiraz from Australia,,,750mL,8,Shiraz,Full Bodied,Dry,Exceptional,Eden Valley,South Australia,,,
2,14.5,Bird In Hand,Screw Cap,Australia,,Merlot 2016,$40.00 per bottle,$240.00 per case of 6,,,750mL,8.6,Merlot,,Dry,,Adelaide Hills,,,,
3,14.5%,Jimmy Wines,Screw Cap,Australia,,2016 Jimmy Cabernet Sauvignon,$16.99 per bottle,$183.50 per case of 12,,,750mL,8.6,Cabernet Sauvignon,Full Bodied,,,Grampians,Victoria,,,
4,13.0%,Pete's Pure,Screw Cap,Australia,,Pinot Noir,$14.99 per bottle,$179.88 per case of 12,,,750mL,7.7,Pinot Noir,Light Bodied,Semi Dry,,Murray Darling,New South Wales,true,,
5,13.5% (2014),Altoona Hills,Screw Cap,Australia,2014*,Cabernet Shiraz,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8 (2014),Cabernet Shiraz,Full Bodied,Dry,,,South Australia,,,
6,14.5%,Rose Kentish,Cork,Australia,2013,Old Vine Cabernet Shiraz 2013,$89.99 per bottle,,,,750mL,8.6,Cabernet Shiraz,,,,McLaren Vale,South Australia,,,
7,13.80%,Quarry Hill,Screw Cap,Australia,2014*,Sea of Stones Sparkling Shiraz,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.2,Shiraz,Full Bodied,,,,,,,
8,13.50%,Dalwhinnie,Screw Cap,Australia,2008,Moonambel Shiraz 2008,$79.99 per bottle,Ranked 2 of 32 Shiraz from Western Victoria,,,750mL,8,Shiraz,Full Bodied,Dry,Excellent,Pyrenees,Victoria,,,
9,14.000000000000002%,Antonio Arraez,,Australia,,Lagares,$34.95 per bottle,$209.70 per case of 12,,,750ml,8.2,Cabernet Sauvignon,,,,,,,,
