,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Vegan Friendly,Organic
0,13.50%,Seppelt,Screw Cap,Australia,2003,Outstanding,St Peters Great Western Shiraz 2003,$129.99 per bottle,Grampians,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,,,,
1,17.20%,Chris Ringland,Cork,Australia,,,Dry Grown Shiraz 2007,"$1,250.00 per bottle",Barossa Valley,750mL,10.2,South Australia,Shiraz,Full Bodied,Dry,,,,,,
2,13.50%,Howard Park,Cork,Australia,1994,Excellent,Cabernet Blend 1994,$119.99 per bottle,,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,,
3,13.90%,Penfolds,Cork,Australia,1976,Exceptional,Grange 1976,"$1,900.00 per bottle",,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,,
4,13.50%,Penfolds,Cork,Australia,1990,Exceptional,Grange 1990 Magnum 1.5L,"$2,700.00 per bottle",,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,,,,
5,14.00%,Penfolds,Cork,Australia,1999,Exceptional,Grange 1999 Magnum 1.5L,"$1,800.00 per bottle",,1.5L,17,South Australia,Shiraz,Full Bodied,Dry,,,,,,
6,13.5% (2012),Wynns,Screw Cap,Australia,2012*,,Childs Cabernet Sauvignon,$61.75 in any six,Coonawarra,750mL,8.0 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$370.50 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 54 Cabernet Sauvignon from Coonawarra,,
7,14%,Hare's Chase,Screw Cap,Australia,2013,,Barossa Valley Shiraz 2013,$45.60 in any six,Barossa  Valley,750mL,8.3,South Australia,Shiraz,,,$273.60 per case of 6,$47.99 per bottle,,,,
8,14.00%,Grant Burge,Cork,Australia,1999,Outstanding,Meshach Shiraz 1999,$179.99 per bottle,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 16 of 18 Shiraz from South Australia,,,,,
9,13.5%,Hardys,Cork,Australia,1999,Excellent,Eileen Hardy Shiraz 1999,$144.99 per bottle,,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,,,,,
10,13.9,The Thief,Screw Cap,Australia,2016,,Grenache Shiraz Mataro 2016,$28.00 per bottle,Barossa Valley,750mL,8.2,,Grenache Shiraz Mata,,Grenache Shiraz Mata,$132.00 per case of 6,Ranked 10 of 28 Grenache from Barossa Valley,,,,
11,14,Hardys,Screw Cap,Australia,Screw Cap,,Eileen Hardy Shiraz 2013,$124.99 per bottle,McLaren Vale,750mL,8.3,FRE,Shiraz,Full Bodied,,$749.94 per case of 6,Dry Red,,,,
12,14.5%,Red Empress,Screw Cap,Australia,,,Coonawarra Cabernet Shiraz,$40.00 per bottle,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon Shiraz,Full Bodied,Dry,$480.00 per case of 12,,,,,
13,14.2,Springton Hills Wine,Screw Cap,Australia,2015,,Rock Ridge Shiraz 2015,$22.95 per bottle,Eden Valley,750mL,8.5,FRE,Shiraz,Full Bodied,Red Varietals,$137.70 per case of 6,Dry Red,,,,
14,14.5,Haselgrove,Screw Cap,Australia,2016,,First Cut Cabernet Sauvignon 2016,$62.36 per pack of 2,,750mL,8.3,,Cabernet Sauvignon,Full Bodied,,$187.08 per case of 6,,,,,
