,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Organic,Price Option 5,Vegan Friendly
0,15.00%,Wolf Blass,Screw Cap,Australia,2006,Outstanding,Platinum Label Shiraz 2006,$161.49 in any six,$968.94 per case of 6,$169.99 per bottle,"Awards: Trophy - China Wine Challenge 2013. Double Gold - San Francisco International Wine Competition. 14 Gold Medals - International Wine Challenge 2015, Decanter Asian Wine Awards 2014, Barossa Wine Show 2014, International Wine Challenge 2014, China Wine Chal",Ranked 72 of 120 Shiraz from Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
1,15.0% (2008),Hare's Chase,Screw Cap,Australia,2008*,,The Springer Blend,$19.95 in any six,$239.40 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.9 (2008),South Australia,Red Blend,,Dry,Barossa Valley,,,
2,14.50%,Howard Park,Screw Cap,Australia,,,Leston Shiraz 2010,$51.99 per bottle,,,,,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,Margaret River,,,
3,13.5% (2012),Lark Hill,Screw Cap,Australia,2012*,,Biodynamic Shiraz Viognier,$42.80 in any six,$513.60 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2012),Australian Capital Territory,Shiraz Viognier,,Dry,Canberra District,true,,
4,15.00%,Balnaves,Cork,Australia,,,The Tally Reserve Cabernet Sauvignon 2007,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 16 of 22 Cabernet Sauvignon from Coonawarra,,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
5,14.8% (2009),Stockman's Ridge,Screw Cap,Australia,2009*,,Outlaw Shiraz,$34.19 in any six,$410.28 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 21 Shiraz from Central Ranges,750mL,8.8 (2009),New South Wales,Shiraz,Full Bodied,Dry,Orange,,,
6,14.00%,Mount Langi Ghiran,Cork,Australia,2000,Excellent,Langi Shiraz 2000,$149.99 per bottle,,,,,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Grampians,,,
7,14.00%,Katnook Estate,,Australia,2003,Excellent,Prodigy Shiraz 2003,$119.99 per bottle,Ranked 57 of 117 Shiraz from South Australia,,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Coonawarra,,,
8,15.0% (2008),Hare's Chase,Screw Cap,Australia,2008*,,The Springer Blend,$19.95 in any six,$239.40 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.9 (2008),South Australia,Red Blend,,Dry,Barossa Valley,,,
9,,,,,,,Unknown,,,,,,,,,,,,,,,
10,14%,Credaro,,Australia,2017,,Kinship Cabernet Sauvignon 2017,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,,,750mL,8.3,Western Australia,Cabernet Sauvignon,,,Margaret River,,,
11,14.50%,Bendbrook,Screw Cap,Australia,,,Goat Track  Reserve Shiraz,$58.99 per bottle,$336.60 per case of 6,Awards: 2018  WineState Show 5 Stars      Top of Class,,,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,Adelaide Hills,,,
