,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,Varietal,Wine Style,State,Price Option 2,Wine Body,Vegan Friendly,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Organic
0,14%,Domaine Asmara,Cork,Australia,2017,Private Reserve Durif 2018,$39.00 per bottle,$220.00 per case of 6,Heathcote,750mL,8.2,Red Blends,Dry,,,,,,,,,
1,14.7-15.5%,Domaine Asmara,,Australia,,Mixed Reserve Cabernet and Shiraz Gift Pack,$220.00 per pack of 6,,Heathcote,750mL x 6,8.7,Shiraz and Cabernet,,Victoria,,,,,,,,
2,14.5,Pooles Rock,Screw Cap,Australia,2016,Premiere Shiraz 2016,$40.00 per bottle,$230.00 per case of 6,McLaren Vale,750mL,8.6,Shiraz,Dry,,Ranked 12 of 107 Shiraz from McLaren Vale,Full Bodied,,,,,,
3,13,Terindah Estate,Screw Cap,Australia,2014,Terindah Estate Single Vineyard Reserve Pinot Noir 2014,$90.00 per bottle,$440.00 per case of 6,Bellarine Peninsula,750mL,7.7,Pinot Noir,Dry,Victoria,"Awards: 94 Points by James Halliday (2017 Halliday Wine Companion)
Gold Medal at 2015 Concours des Vins de Victoria
Silver medal at 2015 Winewise Small Vignerons Awards
Bronze medal at 2015 Victorian Wine Show
Bronze medal at 2015 Royal Melbourne Wine Show",Light Bodied,,,,,,
4,13.5,Ferngrove,Screw Cap,Australia,,Ferngrove Dragon Shiraz 2017,$32.00 per bottle,$192.00 per case of 6,Frankland River,750ml,8,Shiraz,Dry,Western Australia,"Awards: Silver – 2018 Royal Hobart Wine Show
Bronze – 2018 Royal Perth Wine Show",Full Bodied,,,,,,
5,13.5\t,Five Friends,Screw Cap,Australia,,Cabernet Shiraz 2015,$12.00 per bottle,$69.00 per case of 6,"Central Ranges, NSW",750mL,8,Cabernet Shiraz,,,,Full Bodied,,,,,,
6,12.5,Beelgara Estate,Screw Cap,Australia,,Merlot 2016,$9.50 per bottle,$108.00 per case of 12,NSW,750mL,7.4,Merlot,,,,Medium Bodied,,,,,,
7,13\t,Five Friends,Screw Cap,Australia,,Merlot 2015,$12.00 per bottle,$69.00 per case of 6,"Central Ranges, NSW",750mL,7.7,Merlot,,,,Medium Bodied,,,,,,
8,14.2%,Oakover Wines,Screw Cap,Australia,,Nicholas Signature Range Shiraz 2016,$35.00 per bottle,$420.00 per case of 12,Western Australia,750mL,8.6,Shiraz,,,,Full Bodied,,,,,,
9,14.0%,Goldman Wines,Screw Cap,Australia,,Hunter Valley Shiraz Viognier 2014,$19.99 per bottle,$119.94 per case of 6,Hunter Valley,750mL,8.3,Shiraz Viognier,Dry,New South Wales,Awards: 92 Points Halliday Wine Companion,Medium Bodied,,,,,,
10,14.0%,Taylors Wines,Screw Cap,Australia,,TWP Shiraz 2015,$25.00 per bottle,$150.00 per case of 6,Clare Valley,750mL,8,Shiraz,,South Australia,,Full Bodied,,,,,,
11,14.5,Artisans of Barossa ,Screw Cap,Australia,,Shiraz Selections,$174.00 per pack of 6,,Barossa Valley,6 x 750mL,8.8,Shiraz,Dry,South Australia,,Full Bodied,,,,,,
12,14.5%,It's Pronounced Mudgee,Screw Cap,Australia,,Shiraz,$15.95 per bottle,$95.70 per case of 6,Mudgee,750mL,8.6,Shiraz,Dry,New South Wales,,Full Bodied,,,,,,
13,14.0%,Journey Wines,Screw Cap,Australia,2016,2016 Journey Wines Heathcote Shiraz,$38.00 per bottle,$228.00 per case of 6,Heathcote,750ml,8.3,Shiraz,Dry,Victoria,,Medium Bodied,true,,,,,
14,30%,Baker Williams,Cork,Australia,,Rouge Vert Jus,$49.50 per bottle,$297.00 per case of 6,Mudgee,500ml,11.8,Liqueur,,New South Wales,,,true,,,,,
15,15.5,Curator Wines,Cork,Australia,,2014 Shiraz 750ml,$79.00 per bottle,$474.00 per case of 6,Barossa Valley,750ml,9.3,Shiraz,,South Australia,Awards: James Halliday: 95 points,,,,,,,
16,16%,Three Kangaroos,Cork,Australia,,'Double Barrels' Shiraz 2015,$80.00 per bottle,$480.00 per case of 6,Barossa Valley,750mL,9.5,Shiraz,Dry,South Australia,,Full Bodied,,,,,,
17,13.5%,The Blackwood,Screw Cap,Australia,,Ti Tree Gully Shiraz 2017,$14.99 per bottle,$85.80 per case of 6,Blackwood Valley,750mL,8.0,Shiraz,,Western Australia,,,,,,,,
18,15%,Southern Vales,Screw Cap,Australia,,Reserve Mclaren Vale Shiraz 2015,$85.00 per bottle,$500.00 per case of 6,McLaren Vale,750mL,8.9,Shiraz,Dry,South Australia,,Full Bodied,,,,,,
19,14.5,Southern Vales,Screw Cap,Australia,,Langhorne Creek Shiraz 2017,$18.00 per bottle,$216.00 per case of 12,Langhorne Creek,750mL,8.6,Shiraz,Dry,South Australia,,Medium Bodied,,,,,,
20,13.8%,La Cantina King Valley,Cork,Australia,,No Preservatives Added Sangiovese 2016,$20.00 per bottle,$240.00 per case of 12,,750ml,8,Sangiovese,Dry,Victoria,,Light Bodied,true,,,,,
21,14%,Curtis Cavaliere,Cork,Australia,,McLaren Vale Shiraz 2016,$70.00 per bottle,$700.00 per case of 12,McLaren Vale,750mL,8.3,Shiraz,Dry,South Australia,"Awards: 94 Points - Wine Companion James Halliday
95 Points - Wine Orbit Sam Kim",Full Bodied,,,,,,
22,14%,Martins Vineyard,Cork,Australia,,Limited McLaren Vale Shiraz,$100.00 per bottle,$500.00 per case of 6,McLaren Vale,750mL,8.3,Shiraz,Dry,South Australia,"Awards: 95 Points - Wine Companion James Halliday
97 Point - Wine Orbit Sam Kim
94 Points - The wine Reviewer Patrick Eckel",Full Bodied,,,,,,
23,14.5,Penley Estate,Screw Cap,Australia,,Chertsey Cabernets Merlot Shiraz 2013,$44.99 per bottle,$269.94 per case of 6,Coonawarra,750ml,8.6,"Shiraz, Merlot, Cabe",,,,,,,,,,
24,13.2%,Nuova Scuola,Screw Cap,Australia,,2017 Tempranillo,$140.00 per pack of 6,$264.00 per case of 12,,750mL,7.8,Tempranillo,Dry,,,Medium Bodied,,,,,,
25,14.5%,The Shiraz Republic,Cork,Australia,,2010 Heathcote Shiraz,$19.95 per bottle,$179.95 per case of 12,Heathcote,750mL,8.6,Shiraz,Dry,Victoria,,Full Bodied,,,,,,
26,14.5%,Farmers Leap,Screw Cap,Australia,,Shiraz 2013,$25.00 per bottle,$300.00 per case of 12,Padthaway,750mL,8.6,Shiraz,,South Australia,"Awards: 2017 Royal Adelaide Show - Gold Medal
2017 Mundus Vini Summer Tasting - Gold Medal
2017 Berliner Wein Trophy - Gold Medal
Winestate Magazine - 5 stars",Full Bodied,,,,,,
27,14%,Hirsch Hill Estate,,Australia,,2015 Hirsch Hill Shiraz,$20.00 per bottle,$120.00 per case of 6,Yarra Valley,750mL,8.4,Shiraz,,Victoria,"Awards: 93 Rating Halliday Wine Companion 2019

4.5 Stars Wine Estate Wine Of The Year Finalist 2017",Full Bodied,,,,,,
