,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Organic,Langtons Classified,Vegan Friendly
0,13.5% (2011),Pierro,Screw Cap,Australia,2011*,Reserve Cabernet Sauvignon Merlot,$68.39 in any six,$71.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 41 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8 (2011),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
1,14.50%,Ulithorne,Screw Cap,Australia,2015*,Dona Shiraz,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,,,,,,
2,14.0% (2014),Hardys,Screw Cap,Australia,2014*,Thomas Hardy Cabernet Sauvignon,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,Awards: Gold Medal - Sydney Royal Wine Show 2016 and Decanter World Wine Awards 2013,Margaret River,750mL,8.3 (2013),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 265 Cabernet Sauvignon from Australia,,,
3,13.00%,Wynns,Screw Cap,Australia,2014,V&A Lane Cabernet Shiraz 2014,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,Ranked 6 of 47 Cabernet Sauvignon from South Australia,Coonawarra,750mL,7.7,South Australia,,,,,,,,
4,13.5%,Houghton,Screw Cap,Australia,2016*,Gladstones Cabernet Sauvignon,$65.60 in any six,$393.60 per case of 6,$68.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 1 of 26 Cabernet Sauvignon from Margaret River,,,,
5,13.5%,Jim Barry,Screw Cap,Australia,2012*,Benbournie Cabernet Sauvignon 2012,Delivery Offer$69.90 per bottle,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Clare Valley,750mL,8.0,South Australia,Caberent Sauvignon,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
6,13.5%,Epic Negociants,Screw Cap,Australia,2017*,Gneissic Rock Margaret River Cabernet Sauvignon 2017,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0,Western Australia,,,,,,,,
7,13.5% (2010),Carlei,Screw Cap,Australia,2010*,Green Vineyards Pinot Noir,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2010),Victoria,Pinot Noir,Light Bodied,Dry,,,true,,
8,14.0% (2016),Gemtree,Screw Cap,Australia,2015*,The Phantom Red Blend,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3 (2016),South Australia,Cabernet Blends,,Dry,,,true,,
9,14.0% (2013),Swan Bay,Screw Cap,Australia,2013*,Shiraz,$18.10 in any six,$108.25 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,8.3 (2013),Victoria,Shiraz,Full Bodied,Dry,,,,,
10,14.0%,Taltarni,Screw Cap,Australia,2017*,Cabernet Merlot Petit Verdot,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pyrenees,750mL,8.3,Victoria,Cabernet Merlot Petit Verdot,Medium Bodied,Dry,,,,,
