,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Langtons Classified,Region,Wine Body,Wine Style,Price Option 2,Vegan Friendly,Price Option 3,Price Option 4,Organic,Price Option 5
0,14%,Block 68,Australia,Barossa Valley Shiraz 2016,$18.00 per bottle,$107.94 per case of 6,750mL,83,Victoria,wine,,,,,,,,,,,,
1,14.00%,Katnook Estate,Australia,Odyssey Cabernet Sauvignon 1999,$149.99 per bottle,,750mL,8.3,South Australia,Cabernet Sauvignon,Cork,1999,Outstanding,Coonawarra,Full Bodied,Dry,,,,,,
2,14,Richard Hamilton,Australia,'Lot 148' Merlot,$21.00 per bottle,$126.00 per case of 6,750mL,8.3,,Merlot,Screw Cap,,,McLaren Vale,,Dry,,,,,,
3,14,Richard Hamilton,Australia,'Lot 148' Merlot,$21.00 per bottle,$126.00 per case of 6,750mL,8.3,,Merlot,Screw Cap,,,McLaren Vale,,Dry,,,,,,
4,13.90%,Giaconda,Australia,Warner Shiraz 2008,$119.99 per bottle,Ranked 12 of 23 Shiraz from North East Victoria,750mL,8.2,Victoria,Shiraz,Screw Cap,2008,Excellent,Beechworth,Full Bodied,Dry,,,,,,
5,17.0%,Noon,Australia,Reserve Cabernet 2005,$144.99 per bottle,,750mL,10.1,South Australia,Cabernet Sauvignon,Cork,2005,Outstanding,Langhorne Creek,Full Bodied,Dry,,,,,,
6,17.0%,Noon,Australia,Reserve Cabernet 2005,$144.99 per bottle,,750mL,10.1,South Australia,Cabernet Sauvignon,Cork,2005,Outstanding,Langhorne Creek,Full Bodied,Dry,,,,,,
7,13.70%,Penfolds,Australia,Grange 1986,"$1,099.00 per bottle",,750mL,8.1,South Australia,Shiraz,Cork,1986,Exceptional,,Full Bodied,Dry,,,,,,
8,14,Epic Negociants,Australia,The Rise Shiraz 2016,$60.00 per bottle,$360.00 per case of 6,750mL,8.3,South Australia,Shiraz,Screw Cap,2016,,McLaren Vale,Full Bodied,Shiraz,,,,,,
9,,,,Unknown,,,,,,,,,,,,,,,,,,
10,14.5,Willandra,Australia,Premium Durif,$18.00 per bottle,$91.80 per case of 6,750mL,8.6,,Durif,Screw Cap,,,Riverina,,,Ranked 14 of 22 Durif from Australia,,,,,
11,14.5%,Wednesday Night Wine Company,Australia,Barossa Valley Shiraz 2016,$27.00 per bottle,$162.00 per case of 6,750mL,8.6,South Australia,Shiraz,Screw Cap,2016,,Barossa Valley,Full Bodied,,,,,,,
12,14.50%,Balnaves,Australia,The Tally Reserve Cabernet Sauvignon 2004,$139.99 per bottle,,750mL,8.6,South Australia,Cabernet Sauvignon,Cork,2004,Outstanding,Coonawarra,Full Bodied,Dry,,,,,,
13,12.00%,Mount Mary,Australia,Quintet 1995,$239.99 per bottle,,750mL,7.1,Victoria,Red Blend,Cork,1995,Exceptional,Yarra Valley,,Dry,,,,,,
14,13.2,Beresford Wines,Australia,Classic Grenache Rose,$27.99 per bottle,$167.94 per case of 6,750,7.8,South Australia,Grenache Rose,Screw Cap,,,McLaren Vale,,,,,,,,
15,13.0%,Three Dark Horses,Australia,Grenache Rose,$19.99 per bottle,$239.88 per case of 12,750mL,7.7,South Australia,Grenache,Screw Cap,2018,,McLaren Vale,Light Bodied,,Awards: James Halliday Wine Companion 2019 Top Ten Dark Horses Winery - Three Dark Horses,true,,,,
16,15.00%,Parker Coonawarra Estate,Australia,First Growth Cabernet Blend 2006,$123.50 in any six,$741.00 per case of X,750mL,8.9,South Australia,Cabernet Merlot,Screw Cap,,,Coonawarra,Medium Bodied,Dry,$129.99 per bottle,,,,,
17,14.50%,Penfolds,Australia,Grange 2004 Magnum 1.5L,"$1,700.00 per bottle",,1.5L,17,South Australia,Shiraz,Cork,2004,Exceptional,,Full Bodied,Dry,,,,,,
18,14.50%,Sorby Adams,Australia,The Thing Shiraz 2008,$142.50 in any six,$855.00 per case of 6,750mL,8.6,South Australia,Shiraz,Cork,,,Eden Valley,Full Bodied,Dry,$150.00 per bottle,,,,,
19,14.50%,Penfolds,Australia,Grange 2004 Magnum 1.5L,"$1,700.00 per bottle",,1.5L,17,South Australia,Shiraz,Cork,2004,Exceptional,,Full Bodied,Dry,,,,,,
20,13.50%,Wynns,Australia,V&A Lane Cabernet Shiraz 2012,$58.99 per bottle,$336.60 per case of 6,750mL,8,South Australia,Cabernet Shiraz,Screw Cap,,,Coonawarra,,Dry,$56.10 in any six,,Awards: Trophy - Winewise Championship 2013. Gold - Limestone Coast Wine Show 2012,Ranked 5 of 63 Cabernet Sauvignon from South Australia,,
21,14.5%,The Remarkable State,Australia,Proclamation Barossa Shiraz Grenache Mataro 2017,$28.50 in any six,$171.00 per case of 6,750mL,8.6,,Shiraz Grenache Mataro,Screw Cap,2017,,,,,$24.99 per bottle,,,,,
22,14.00%,Penfolds,Australia,Grange 1996 Magnum 1.5L,"$2,000.00 per bottle",,1.5L,16.5,South Australia,Shiraz,Cork,1996,Exceptional,,Full Bodied,Dry,,,,,,
23,14.5%,The Remarkable State,Australia,Proclamation Barossa Shiraz Grenache Mataro 2017,$28.50 in any six,$171.00 per case of 6,750mL,8.6,,Shiraz Grenache Mataro,Screw Cap,2017,,,,,$24.99 per bottle,,,,,
24,13.4%,Oakridge,Australia,864 Syrah,$63.65 in any six,$382.20 per case of 6,750mL,7.9,Victoria,Shiraz,Screw Cap,2013*,,Yarra Valley,Full Bodied,Dry,$66.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
25,14.00%,Parker Coonawarra Estate,Australia,First Growth Cabernet Blend 1999,$159.99 per bottle,,750mL,8.3,South Australia,Cabernet Blends,Cork,1999,Excellent,Coonawarra,,Dry,,,,,,
26,14.5%,Narkoojee,Australia,Pinot Noir,$33.30 in any six,$399.60 per case of 12,750mL,8.6,Victoria,Pinot Noir,Screw Cap,2016*,,Gippsland,Light Bodied,Dry,$34.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
