,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Body,Wine Style,Current Vintage,Price Option 2,Langtons Classified,Price Option 3,Price Option 4,Price Option 5,Organic
0,14.5%,Bellarine Estate,Screw Cap,Australia,Pauls Petit Sirah,$40.00 per bottle,$240.00 per case of 6,Bellarine,750mL,8.6,Victoria,Petite Sirah,true,Full Bodied,Dry,,,,,,,
1,14.5%,Bellarine Estate,,Australia,Two Wives Shiraz,$228.00 per pack of 6,$456.00 per case of 12,Bellarine,750mL,8.6,Victoria,Shiraz,true,Medium Bodied,,,,,,,,
2,14.5%,Three Dark Horses,Screw Cap,Australia,McLaren Vale Shiraz 2017,$24.99 per bottle,$299.88 per case of 12,McLaren Vale,750mL,8.6,South Australia,Shiraz,true,Full Bodied,Dry,2017,Awards: James Halliday Wine Companion 2019 Top Ten Dark Horses Winery - Three Dark Horses,,,,,
3,14.5%,Penfolds,Screw Cap,Australia,Bin 407 Cabernet Sauvignon 2016,$82.70 in any six,$496.20 per case of 6,"Coonawarra, McLaren Vale, Barossa Valley, Wrattonbully, Padthaway",750mL,8.6,South Australia,Cabernet Sauvignon,,,,,$86.99 per bottle,,,,,
4,12.60%,Penfolds,Cork,Australia,Grange 1955,"$6,900.00 per bottle",Awards: 12 Trophies. 52 Gold Medals including 1962 Open Claret Class Sydney Wine Show.,,750mL,7.5,South Australia,Shiraz,,Full Bodied,Dry,1955,,Exceptional,,,,
5,14.5% (2015),Penfolds,Screw Cap,Australia,Bin 407 Cabernet Sauvignon 2015,$80.80 in any six,$484.80 per case of 6,,750mL,8.6 (2015),South Australia,Cabernet Sauvignon,,Full Bodied,Dry,2015*,$84.99 per bottle,Excellent,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 19 Cabernet Sauvignon from Barossa Valley,,
6,14.00%,Penfolds,Cork,Australia,Bin 389 Cabernet Shiraz 1998,$159.99 per bottle,,,750mL,8.3,South Australia,Cabernet Shiraz,,Full Bodied,Dry,1998,,Outstanding,,,,
7,14.50%,Penfolds,Cork,Australia,Grange 2010,$839.00 per bottle,Ranked 4 of 430 Shiraz from South Australia,,750mL,8.6,South Australia,Shiraz,,Full Bodied,Dry,2010,,Exceptional,,,,
8,14.50%,Wolf Blass,Screw Cap,Australia,Grey Label Cabernet Shiraz 2012,"Awards: Gold Medal - San Francisco International Wine Competition 2017, Silver Medal - San Francisco International Wine Competition 2016, Silver - International Wine Challenge Awarded 2015, Silver - International Wine & Spirit Competition Awarded 2014",Ranked 8 of 21 Cabernet Sauvignon from Fleurieu,,750mL,8.6,South Australia,Cabernet Sauvignon Shiraz,,,Dry,,,,,,,
9,12.40%,Penfolds,Cork,Australia,Grange 1973,$990.00 per bottle,,,750mL,7.4,South Australia,Shiraz,,Full Bodied,Dry,1973,,Exceptional,,,,
10,14.0% (2014),Fowles Wine,Screw Cap,Australia,Stone Dwellers Shiraz,Offer$19.99 for 2 bottles,$19.00 in any six,Strathbogie Ranges,750mL,8.3 (2014),Victoria,Shiraz,,Full Bodied,Dry,2014*,$114.00 per case of 6,,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
11,12.00%,Penfolds,Cork,Australia,Grange 1972,$950.00 per bottle,,Barossa Valley,750mL,7.2,South Australia,Shiraz,,Full Bodied,Dry,1972,,Exceptional,,,,
12,13.70%,Penfolds,Cork,Australia,Grange 1987,$899.00 per bottle,,,750mL,8.1,South Australia,Shiraz,,Full Bodied,Dry,1987,,Exceptional,,,,
13,13.50%,Penfolds,Cork,Australia,Grange 1989,$850.00 per bottle,,,750mL,8,South Australia,Shiraz,,Full Bodied,Dry,1989,,Exceptional,,,,
