,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Langtons Classified,Price Option 4,Price Option 5
0,12.5%,McWilliam's,Screw Cap,Australia,2017*,Bagtown Keith Pinot Noir,$8.45 in any six,$50.70 per case of 6,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,New South Wales,Pinot Noir,Light Bodied,Dry,,,,
1,13.5% (2016),Oscars,Screw Cap,Australia,2016*,Reserve Pinot Noir,$11.30 in any six,$67.80 per case of 6,$11.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8 (2016),Victoria,Pinot Noir,Light Bodied,Dry,Yarra Valley,,,
2,14.0% (2010),Peter Lehmann,Screw Cap,Australia,2010*,Mentor Cabernet Decanter Gift Pack,$43.88 per pack,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 23 Cabernet Sauvignon from Barossa Valley,,750mL,8.3 (2010),South Australia,Red Blend,,Dry,Barossa Valley,,,
3,14.00%,Two Hands,Screw Cap,Australia,,Angels' Share Shiraz 2012,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
4,14.5% (2014),Penfolds,Screw Cap,Australia,,Bin 128 Shiraz 2014,$38.99 per bottle,$222.60 per case of 6,$37.10 in any six,,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,Coonawarra,Excellent,,
5,14.5% (2013),Penfolds,Screw Cap,Australia,2013*,Bin 138 Shiraz Grenache Mataro 2013,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2013),South Australia,Shiraz Grenache Mataro,,Dry,Barossa Valley,,Ranked 4 of 24 Shiraz from Barossa Valley,
6,14.50%,Chapel Hill,Screw Cap,Australia,2008,McLaren Vale Shiraz 2008,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,Ranked 73 of 92 Shiraz from McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
7,12.7% (2012),Leaning Church Vineyard,Screw Cap,Australia,2012*,Pinot Noir,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.5 (2012),Tasmania,Pinot Noir,Light Bodied,Dry,,,,
8,14.5% (2013),Peter Lehmann,Screw Cap,Australia,2013*,Light Pass Cabernet Sauvignon,$11.88 per bottle,$71.28 per case of 6,$11.88 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2013),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Barossa Valley,,,
9,13.5% (2014),McWilliam's,Screw Cap,Australia,2014*,Bagtown Glen Cabernet Sauvignon,$8.45 in any six,$50.70 per case of 6,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2014),New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,
10,13.60%,Taylors Estate,Screw Cap,Australia,,Cabernet Sauvignon 2009,$29.99 per bottle,$171.00 per case of 6,$28.50 in any six,,750mL,8.1,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Clare Valley,,,
11,14.5%,Kellermeister,Screw Cap,Australia,2013*,Boots Gold Label Dry Grown Shiraz,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
12,14.10%,Laurance,,Australia,,Icon Cabernet 2014,$14.20 in any six,$85.20 per case of 6,$14.88 per bottle,,,8.3,,Cabernet Sauvignon,Full Bodied,Dry,Margaret River,,,
13,13.5% (2015),Gentlemans Agreement,Screw Cap,Australia,2015*,Neil McGuigan Cabernet Shiraz,$6.65 in any six,$39.90 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8 (2015),South Australia,Cabernet Shiraz,Full Bodied,Dry,Limestone Coast,,,
14,14.3% (2012),Clovely Estate,Screw Cap,Australia,2012*,Left Field Grenache Shiraz Mourvèdre,$12.88 in any six,$154.56 per case of 12,$12.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.5 (2012),Queensland,Grenache Shiraz Mourvèdre,,Dry,South Burnett,,,
15,14.00%,Evans & Tate,Screw Cap,Australia,,Metricup Road Cabernet Merlot 2009,$23.99 per bottle,$136.68 per case of 6,$22.78 in any six,Awards: Gold Medal - Qantas Wine Show of Western Australia 2011,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,Margaret River,,,
16,13.0% (2015),Rosemount,Screw Cap,Australia,2015*,Blends Cabernet Merlot,$7.50 in any six,$45.00 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),New South Wales,Cabernet Merlot,Medium Bodied,Dry,,,,
17,13.9%,Laurance,Screw Cap,Australia,2013,Red Cabernet Merlot 2013,$8.88 in any six,$53.28 per case of 6,$8.88 per bottle,,,8.2,,Cabernet Merlot,Medium Bodied,Dry,Margaret River,,,
18,10.5% (Non Vintage),Hardys,Screw Cap,Australia,Non Vintage*,Hidden Orchard Grapefruit,$6.55 in any six,$39.30 per case of 6,$6.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.2 (Non Vintage),,Fruit Wine,,Dry,,,,
19,14.0% (2014),Taylors,Screw Cap,Australia,2014*,Eighty Acres Shiraz,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"Awards: Blue Gold - Sydney International Wine Competition 2014, Gold - International Wine Guide Awards 2016 Gold - Vienna International Wine Challenge 2016 Gold - Michelangelo International Wine Awards 2016 Gold - Rutherglen Wine Show 2016 Gold - Berliner Wine Tr",750mL,8.3 (2014),South Australia,Shiraz Viognier,,Dry,Clare Valley,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
20,14.50%,Schild Estate,Screw Cap,Australia,2016*,Grenache Mourvèdre Shiraz,$10.40 in any six,$62.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2015),South Australia,Grenache Mourvèdre Shiraz,Medium Bodied,Dry,Barossa Valley,,Ranked 19 of 28 Grenache from Barossa Valley,
21,14.0% (2012),Rymill,Screw Cap,Australia,2012*,mc² Cabernet Merlot Cabernet Franc,$8.88 in any six,$53.28 per case of 6,$8.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2012),South Australia,Cabernet Merlot Cabernet Franc,,Dry,Coonawarra,,,
22,9.5% (2012),Evans & Tate,Screw Cap,Australia,2012*,Cloud Dancer Shiraz,$8.88 in any six,$53.28 per case of 6,$8.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5.6 (2012),Western Australia,Shiraz,Full Bodied,Dry,,,,
23,13.5%,Mitolo,Screw Cap,Australia,2017,Jester Sangiovese Rose 2017,$7.88 in any six,$47.28 per case of 6,$7.88 per bottle,,750mL,8,South Australia,Sangiovese,,,McLaren Vale,,,
24,10.5% (Non Vintage),Hardys,Screw Cap,Australia,Non Vintage*,Hidden Orchard Strawberry,$6.55 in any six,$39.30 per case of 6,$6.90 per bottle,,750mL,6.2 (Non Vintage),,Fruit Wine,Light Bodied,Dry,,,,
25,14.0% (2012),Rosemount,Screw Cap,Australia,2012*,MV Collection Shiraz,$5.88 in any six,$35.28 per case of 6,$5.88 per bottle,Awards: Gold Medal - Royal Adelaide Wine Show 2014,750mL,8.3 (2012),South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Ranked 44 of 143 Shiraz from McLaren Vale
26,13.50%,Penfolds,Cork,Australia,2004,Block 42 Kalimna Cabernet Sauvignon 2004,"$1,100.00 per bottle",Ranked 2 of 15 Cabernet Sauvignon from Barossa Valley,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Barossa Valley,,,
27,14.00%,Rymill,Screw Cap,Australia,,Coonawarra Cabernet 2009,$35.15 in any six,$210.90 per case of 6,$36.99 per bottle,Ranked 19 of 45 Cabernet Sauvignon from Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
28,14.50%,Brand's Laira,Screw Cap,Australia,,Foundation Cabernet Merlot 2010,$24.99 per bottle,$142.50 per case of 6,$23.75 in any six,,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,Coonawarra,,,
29,14.50%,Lake Breeze,Screw Cap,Australia,,Bernoota Shiraz Cabernet 2009,$27.99 per bottle,Ranked 1 of 16 Shiraz from Fleurieu,,,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,Langhorne Creek,,,
30,14.50%,Dalwhinnie,Cork,Australia,2003,Eagle Shiraz 2003,$164.99 per bottle,,,,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Pyrenees,Outstanding,,
31,14.30%,Richmond Grove,Screw Cap,Australia,,Cabernet Sauvignon 2010,$24.99 per bottle,$142.50 per case of 6,$23.75 in any six,Awards: Blue Gold Medal - Sydney International Wine Competition 2014,750mL,8.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
32,14.50%,Rolf Binder,Cork,Australia,2002,Hanisch Shiraz 2002,$129.99 per bottle,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,Excellent,,
33,15.00%,Barossa Valley Estate,Cork,Australia,,E & E Black Pepper Shiraz 2005,$94.10 in any six,$564.60 per case of 6,$98.99 per bottle,Ranked 1 of 112 Shiraz from Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,Outstanding,,
34,14.50%,Parker Coonawarra Estate,Screw Cap,Australia,,Terra Rossa Cabernet Sauvignon 2008,$40.85 in any six,$245.10 per case of 6,$42.99 per bottle,Ranked 26 of 44 Cabernet Sauvignon from Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
35,14.50%,Henschke,Screw Cap,Australia,2005,Cyril Henschke Cabernet Sauvignon 2005,$169.99 per bottle,,,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Eden Valley,Outstanding,,
36,14.50%,d'Arenberg,Screw Cap,Australia,2005,The Dead Arm Shiraz 2005,$109.99 per bottle,Ranked 13 of 73 Shiraz from McLaren Vale,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,Outstanding,,
37,15.50%,Jasper Hill,Cork,Australia,,Georgia's Paddock Shiraz 2003,$119.99 per bottle,,,,750mL,9.2,Victoria,Shiraz,,Dry,Heathcote,Outstanding,,
38,13.50%,Greenock Creek,Cork,Australia,2001,Roennfeldt Road Cabernet Sauvignon 2001,$369.99 per bottle,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Barossa Valley,Outstanding,,
39,14.10%,Hardys,Cork,Australia,2004,Eileen Hardy Shiraz 2004,$137.99 per bottle,"Awards: Gold - McLaren Vale Wine Show 2013, National Wine Show 2006",,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,Excellent,,
40,12.50%,Lindeman's,Cork,Australia,1992,Coonawarra Trio Limestone Ridge Shiraz Cabernet 1992,$59.99 per bottle,,,,750mL,7.4,South Australia,Shiraz Cabernet,Full Bodied,Dry,Coonawarra,Excellent,,
41,14.50%,Langmeil,Screw Cap,Australia,,Hangin' Snakes Shiraz 2010,$24.99 in any six,$148.20 per case of 6,$25.99 per bottle,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
42,13.50%,Giaconda,Cork,Australia,2004,Nantua Pinot Noir 2004,$134.99 per bottle,,,,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,Beechworth,,,
43,12.00%,Lake's Folly,Cork,Australia,1992,Cabernets 1992,$154.99 per bottle,,,,750mL,7.1,New South Wales,Cabernet Blends,,Dry,Hunter Valley,Excellent,,
44,13.50%,d'Arenberg,Cork,Australia,2006,The Dead Arm Shiraz 2006,$104.99 per bottle,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,Outstanding,,
45,13.50%,Tahbilk,Screw Cap,Australia,,Shiraz 2010,$22.79 in any six,$136.74 per case of 6,$23.99 per bottle,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Goulburn Valley,,,
46,14.00%,Coriole,,Australia,2007,Lloyd Reserve Shiraz 2007,$89.99 per bottle,Ranked 40 of 77 Shiraz from McLaren Vale,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,Excellent,,
47,14.50%,Fox Creek,Cork,Australia,1999,Reserve Shiraz 1999,$94.99 per bottle,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,Excellent,,
48,13.0% (2015),William Downie,Wax Sealed Cork,Australia,2015*,Yarra Valley Pinot Noir,$67.50 in any six,$405.00 per case of 6,$70.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Victoria,Pinot Noir,Light Bodied,Dry,Yarra Valley,,Ranked 51 of 74 Pinot Noir from Yarra Valley,
49,14.50%,Mount Langi Ghiran,Screw Cap,Australia,,Cliff Edge Shiraz 2008,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,Ranked 12 of 16 Shiraz from Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Grampians,,,
