,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Region,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Vegan Friendly
0,13.00%,Penfolds,Cork,Australia,1982,Exceptional,Grange 1982,$830.00 per bottle,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
1,13.50%,Penfolds,Cork,Australia,1988,Exceptional,Grange 1988,$850.00 per bottle,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
2,14.50%,Penfolds,Cork,Australia,1998,Outstanding,RWT Barossa Valley Shiraz 1998,$259.99 per bottle,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 12 of 21 Shiraz from South Australia,Barossa Valley,,,,,
3,14.50%,Penfolds,Cork,Australia,2001,Outstanding,RWT Barossa Valley Shiraz 2001,$199.99 per bottle,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 6 of 24 Shiraz from Barossa Valley,Barossa Valley,,,,,
4,14.00%,Rockford,Cork,Australia,1998,Exceptional,Basket Press Shiraz 1998,$274.99 per bottle,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,Barossa Valley,,,,,
5,15.00%,Saltram,Cork,Australia,2003,,No. 1 Shiraz 2003,$56.99 in any six,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,$341.94 per case of 6,Barossa Valley,$59.99 per bottle,,,,
6,14.00%,Tatachilla,Cork,Australia,1999,,Foundation Shiraz 1999,$74.99 per bottle,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,McLaren Vale,,,,,
7,14.00%,Turkey Flat,Cork,Australia,1999,Excellent,Shiraz 1999,$84.99 per bottle,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 8 of 18 Shiraz from South Australia,Barossa Valley,,,,,
8,13.50%,Wynns,Cork,Australia,1998,Excellent,Black Label Cabernet Sauvignon 1998,$84.99 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,,,,,
9,13.50%,Penfolds,Cork,Australia,1999,Exceptional,Bin 707 Cabernet Sauvignon 1999,$549.00 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 12 of 17 Cabernet Sauvignon from Australia,Coonawarra,,,,,
10,15.00%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2002,Outstanding,Block 6 Shiraz 2002,$144.99 per bottle,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,McLaren Vale,,,,,
11,13.00%,Penfolds,Cork,Australia,1997,Excellent,Bin 128 1997,$89.99 per bottle,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,Ranked 17 of 20 Shiraz from Australia,Coonawarra,,,,,
12,14.50%,Clarendon Hills,Cork,Australia,1998,Exceptional,Astralis Syrah 1998,$500.00 per bottle,750mL,8.6,South Australia,Syrah,Full Bodied,Dry,,McLaren Vale,,,,,
13,13.50%,Penfolds,Cork,Australia,1997,Excellent,Bin 407 Cabernet Sauvignon 1997,$149.99 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
14,13.70%,Wendouree,Cork,Australia,2002,Exceptional,Shiraz 2002,$199.99 per bottle,750mL,8.1,South Australia,Shiraz,Full Bodied,Dry,,Clare Valley,,,,,
15,14.50%,Katnook Estate,Screw Cap,Australia,2004,Excellent,Cabernet Sauvignon 2004,$54.99 per bottle,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 9 of 30 Cabernet Sauvignon from Coonawarra,Coonawarra,,,,,
16,13.50%,Henschke,Cork,Australia,1996,Excellent,Keyneton Estate 1996,,750mL,8,South Australia,Shiraz Blends,,Dry,,Barossa Valley,,,,,
17,14.50%,Fox Creek,Cork,Australia,1996,Excellent,Reserve Shiraz 1996,$99.99 per bottle,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,McLaren Vale,,,,,
18,14.00%,Yarra Yering,Cork,Australia,,,Agincourt Cabernet Merlot 2008,$28.88 in any six,750mL,8.30%,Victoria,Cabernet Sauvignon Merlot,Medium Bodied,Dry,$346.56 per case of 12,Yarra Valley,$28.88 per bottle,,,,
19,14.0% (2012),Frankland Estate,Screw Cap,Australia,2012*,,Olmo's Reward,$29.88 per bottle,750mL,8.3 (2012),,Red Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Frankland River,,,,,
20,13.5% (2011),Brokenwood,Screw Cap,Australia,2011*,Exceptional,Graveyard Shiraz,$180.50 in any six,750mL,8.0 (2011),New South Wales,Shiraz,Full Bodied,Dry,$541.50 per case of 3,Hunter Valley,$189.99 per bottle,Awards: Gold - Decanter World Wine Awards 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 59 Shiraz from Lower Hunter,
21,12.5%,Austins & Co,Screw Cap,Australia,2014*,,Custom Collection Delilah Pinot Noir 2014,$57.00 in any six,750mL,7.4,Victoria,Pinot Noir,Light Bodied,Dry,$342.00 per case of 6,Moorabool Valley,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
