,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Organic,Price Option 0,Price Option 1,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Price Option 2,Region,State,Langtons Classified,Price Option 3,Price Option 4,Vegan Friendly,Price Option 5
0,14,Pure Vision,Screw Cap,Australia,2014,Organic Shiraz 2014,true,$15.00 per bottle,$90.00 per case of 12,750mL,8.3,Shiraz,Full Bodied,Shiraz,,,,,,,,
1,14.30%,Turkey Flat,Screw Cap,Australia,,Shiraz 2013,,$43.70 in any six,$262.20 per case of 6,750mL,8.5,Shiraz,Full Bodied,Dry,$45.99 per bottle,Barossa Valley,South Australia,,,,,
2,13.0% (2014),Salamanca Station,Screw Cap,Australia,2014*,Shiraz,,Awards: Gold Medal - China Wine & Spirits Awards 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2014),Shiraz,Full Bodied,Dry,,,South Australia,,,,,
3,14.5% (2015),Crafters Union,Screw Cap,Australia,2015*,Lunar New Year Edition Shiraz,,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2015),Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,,,,
4,13.5% (2013),Giaconda,Screw Cap,Australia,2013*,Warner Shiraz,,$82.70 in any six,$496.20 per case of 6,750mL,8 (2013),Shiraz,Full Bodied,Dry,$86.99 per bottle,Beechworth,Victoria,Excellent,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 26 Shiraz from North East Victoria,,
5,12.5% (2011),Somerton,Screw Cap,Australia,2011*,Merlot,,$4.75 in any six,$28.50 per case of 6,750mL,7.4 (2011),Merlot,Medium Bodied,Dry,$4.99 per bottle,,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
6,14.5% (2014),Cleanskin,Screw Cap,Australia,2014*,GR11 Langhorne Creek Shiraz,,$8.55 in any six,$8.99 per bottle,750mL,8.6 (2014),Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,South Australia,,,,,
7,14.00%,Penfolds,Cork,Australia,1999,Bin 389 Cabernet Shiraz 1999,,$139.99 per bottle,,750mL,8.3,Cabernet Shiraz,Full Bodied,Dry,,,South Australia,Outstanding,,,,
8,14.5%,Brands Laira,Screw Cap,Australia,2012,Foundation Shiraz 2012,,$28.50 in any six,$171.00 per case of 6,750mL,8.6,Shiraz,,,$29.99 per bottle,Coonawarra,South Australia,,Awards: Bronze - International Wine & Spirit Competition 2014,,,
9,15.0% (2012),Bremerton,Cork,Australia,2012*,Walter's Reserve Cabernet Sauvignon,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 49 Cabernet Sauvignon from Fleurieu,750mL,8.9 (2012),Cabernet Sauvignon,Full Bodied,Dry,,Langhorne Creek,South Australia,,,,,
10,14%,Grant Burge,Cork,Australia,,Shadrach Cabernet Sauvignon 2009,,,,750mL,8.9,Cabernet Sauvignon,Full Bodied,Dry,,,South Australia,,,,,
11,13.5% (2014),Grove Estate,Screw Cap,Australia,2014*,Cellar Block Shiraz Viognier,,"Awards: Trophy - Australian Boutique Wine Awards. 2 Gold - Canberra Regional Wine Show 2011, NSW Wine Awards 2010. 5 Silver - Canberra Regional Wine Show 2010, Royal Adelaide Wine Show 2010, Winewise Small Vignerons Awards 2010, Sydney Royal Easter Show 2011, IWC","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2014),Shiraz Viognier,,Dry,,Hilltops,New South Wales,,,,,
12,13.5% (2013),Giaconda,Screw Cap,Australia,2013*,Warner Shiraz,,$82.70 in any six,$496.20 per case of 6,750mL,8 (2013),Shiraz,Full Bodied,Dry,$86.99 per bottle,Beechworth,Victoria,Excellent,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
13,14.0% & 13.0%,MadFish,Screw Cap,Australia,,Premium Red & White Twin Pack,,$22.90 per pack,,750mL,8.3 & 7.7,Gift Pack,,Dry,,,Western Australia,,,,,
14,14.0% (2014),Halls Gap,Screw Cap,Australia,2014*,Shiraz,,$16.88 in any six,$101.28 per case of 6,750mL,8.3 (2014),Shiraz,Full Bodied,Dry,$16.88 per bottle,,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
15,13.00%,Greenstone,Screw Cap,Australia,2013*,Rosso di Colbo Sangiovese,,$29.50 in any six,$177.00 per case of 6,750mL,7.7,Sangiovese,Medium Bodied,Dry,$30.99 per bottle,Heathcote,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 20 Sangiovese from Victoria,,
16,13.5% (2014),Grove Estate,Screw Cap,Australia,2014*,Cellar Block Shiraz Viognier,,"Awards: Trophy - Australian Boutique Wine Awards. 2 Gold - Canberra Regional Wine Show 2011, NSW Wine Awards 2010. 5 Silver - Canberra Regional Wine Show 2010, Royal Adelaide Wine Show 2010, Winewise Small Vignerons Awards 2010, Sydney Royal Easter Show 2011, IWC","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2014),Shiraz Viognier,,Dry,,Hilltops,New South Wales,,,,,
