,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Langtons Classified,Price Option 4,Price Option 5
0,13.00%,Penfolds,Cork,Australia,Bin 389 Cabernet Shiraz 1995 Magnum 1.5L,$340.00 per bottle,1.5L,15.4,South Australia,Cabernet Shiraz,Full Bodied,Dry,,,,,,,,
1,13.00%,Penfolds,Cork,Australia,Bin 333 Shiraz 1971,$419.99 per bottle,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,Hunter Valley,,,,,,,
2,13.00%,Penfolds,Cork,Australia,St Henri Shiraz 1983,$430.00 per bottle,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,,,,,
3,12.50%,Wynns,Cork,Australia,Black Label Cabernet Sauvignon 1976,$339.00 per bottle,750mL,7.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,,,,,
4,14.00%,Seppelt,Screw Cap,Australia,Benno Shiraz 2006,$56.99 in any six,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Bendigo,2006,$341.94 per case of 6,$59.99 per bottle,Ranked 5 of 15 Shiraz from Bendigo,,,
5,14.50%,St Hugo,Cork,Australia,Cabernet Sauvignon 2003,$54.99 per bottle,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,2003,,,,Excellent,,
6,14.50%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 1993,$299.99 per bottle,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Eden Valley,1993,,,,Outstanding,,
7,13.80%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 1992,$264.99 per bottle,750mL,8.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Barossa Valley,1992,,,,Outstanding,,
8,14.50%,Gramp's,Cork,Australia,Shiraz 2005,$15.90 in any six,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,2005,$90.00 per case of 6,$16.90 per bottle,"Awards: Trophy - Cairns Wine Show 2008. Gold - National Wine Show 2007, Perth Royal Wine Show 2009",,,
9,12.60%,Lake's Folly,Cork,Australia,Cabernets 2002,$124.99 per bottle,750mL,7.5,New South Wales,Cabernet Blends,Full Bodied,Dry,Hunter Valley,2002,,,,Excellent,,
