,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Organic,Vegan Friendly,Price Option 5
0,13.80%,Giaconda,Cork,Australia,2003,Cabernet  Sauvignon 2003,$114.99 per bottle,Beechworth,750mL,8.2,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
1,14.00%,Grant Burge,Cork,Australia,2000,Meshach Shiraz 2000,$177.99 per bottle,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,,,,,,
2,14.50%,Hardys,Cork,Australia,1993,Thomas Hardy Cabernet Sauvignon 1993,$89.99 per bottle,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
3,14.50%,Elderton,,Australia,2004,Shiraz 2004,$20.89 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$248.05 per case of 12,$21.99 per bottle,,,,,
4,13.50%,Lindeman's,Cork,Australia,2000,Coonawarra Trio Pyrus Cabernet Blend 2000,$42.75 in any six,Coonawarra,750mL,8,South Australia,Red Blend,,Dry,,$253.75 per case of 6,$44.99 per bottle,,,,,
5,13.00%,Lindeman's,Cork,Australia,1998,Coonawarra Trio St George Cabernet Sauvignon 1998,$56.95 in any six,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$338.35 per case of 6,$64.99 per bottle,,,,,
6,14.50%,Mildara,Screw Cap,Australia,2004,Cabernet Sauvignon 2004,$23.75 in any six,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$140.95 per case of 6,$24.99 per bottle,,,,,
7,,,,,,Unknown,,,,,,,,,,,,,,,,
8,14.00%,Metala,Cork,Australia,2002,Black Label Original Plantings Shiraz 2002,$51.90 in any six,Langhorne Creek,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,$311.40 per case of 6,$51.90 per bottle,,,,,
9,13.50%,Wolf Blass,Screw Cap,Australia,,Yellow Label Cabernet Sauvignon 2005,$14.25 in any six,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$171.00 per case of 12,$14.99 per bottle,Ranked 45 of 112 Cabernet Sauvignon from South Australia,,,,
10,13.50%,Coldstream Hills,Cork,Australia,1996,Reserve Pinot Noir 1996,$90.30 in any six,Yarra Valley,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,,$94.99 per bottle,,,,,,
11,14.50%,Wolf Blass,Screw Cap,Australia,2004,Grey Label Cabernet Sauvignon 2004,$29.45 in any six,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$174.79 per case of 6,$30.99 per bottle,Ranked 10 of 26 Cabernet Sauvignon from Fleurieu,,,,
12,13.50%,Penfolds,Screw Cap,Australia,,Koonunga Hill Cabernet Sauvignon 2006,$16.15 in any six,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$95.85 per case of 6,$16.99 per bottle,,,,,
