,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 5,Organic,Vegan Friendly
0,13%,Kooyong,Screw Cap,Australia,2015*,Pinot Noir,$42.75 in any six,$256.50 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 60 of 102 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,
1,13.50%,Wynns,Screw Cap,Australia,2012,Cabernet Shiraz Merlot 2012,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"Awards: Silver - Hong Kong International Wine & Spirit Competition Awarded: 2014,  Silver - International Wine & Spirit Competition Awarded: 2014,  Silver - International Wine Challenge Awarded: 2015,  Bronze  Decanter World Wine Awards Awarded: 2015,  Bronze - I",,Coonawarra,750mL,8,South Australia,Cabernet Shiraz Merlot,,Dry,,,,
2,10.5%,Brown Brothers,Screw Cap,Australia,2017*,Dolcetto & Syrah,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.2,Victoria,Dolcetto and Shiraz,,Sweet,,,,
3,9.50%,Golden Oak,Cask Closure,Australia,Non Vintage,Medium Dry Red Cask 4L,$9.99 each,$19.00 per case of 2,,,,,4L,30,Victoria,Red Blend,,Dry,,,,
4,13.5%,Jamiesons Run,Screw Cap,Australia,2017*,Billy's Shadow Cabernet Sauvignon,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
5,12.5%,De Bortoli,,Australia,2017,Sia Rosé,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.5,,Rose,,,,,,
6,14.4%,Taylors Estate,Screw Cap,Australia,2013,Cabernet Sauvignon 2013,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"Awards: Decanter World Wine Awards, 2015: Silver, 
International Wine Challenge, 2015: Commended, 
The TEXSOM International Wine Awards, 2015: Silver, 
Vinalies Internationales, 2015: Silver, 
Indy International Wine Competition, 2014: Bronze",,Clare Valley,750mL,8.6,South Australia,Caberent Sauvignon,,,,,,
7,14.5% (2013),Wolf Blass,Screw Cap,Australia,2013*,Black Label Cabernet Sauvignon Shiraz Malbec,$104.50 in any six,$659.94 per case of 6,$109.99 per bottle,Awards: Double Gold - San Francisco International Wine Competition 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6 (2013),South Australia,Cabernet Sauvignon Shiraz,Full Bodied,Dry,Excellent,Ranked 9 of 63 Cabernet Sauvignon from South Australia,,
8,13%,Yering Station,Screw Cap,Australia,2017*,Pinot Noir,$32.29 in any six,$193.74 per case of 6,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,
9,12.50%,Penfolds,,Australia,1980,Grange 1980,$950.00 per bottle,,,,,,750mL,7.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,
10,13.5% (2014),McWilliam's,Screw Cap,Australia,2014*,Appellation Hilltops Cabernet Sauvignon 2014,Delivery Offer$15.90 per bottle,$22.79 in any six,$136.74 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hilltops,750mL,8 (2014),New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,
11,14.5%,Peter Lehmann,Screw Cap,Australia,2017*,Portrait Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
12,13,Label 88,Screw Cap,Australia,2016,Pinot Noir 2018,Online Offer$49.95 per case of 6,$14.00 per bottle,$84.00 per case of 6,,,,750mL,8,,Pinot Noir,Light Bodied,Pinot Noir,,,,
13,14.5%,The Inventor,Screw Cap,Australia,2016,Cabernet Sauvignon 2016,Delivery Offer$150.00 for 2 cases,$24.50 per bottle,$144.00 per case of 6,,,McLaren Vale,750mL,8.6,South Australia,,Full Bodied,Dry,,,,
14,13.5%,Lindeman's,Screw Cap,Australia,2018*,Bin 45 Cabernet Sauvignon,$6.60 in any six,$39.60 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,
