,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Organic,Price Option 4,Price Option 5
0,14.50%,Cape Mentelle,Screw Cap,Australia,2004,Outstanding,Cabernet Sauvignon 2004,Ranked 19 of 27 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
1,14.0% (2010),Evans & Tate,Screw Cap,Australia,2010,,Metricup Road Cabernet Sauvignon,$13.30 in any six,Margaret River,750mL,8.3 (2010),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$79.80 per case of 6,$13.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
2,14.50%,Vasse Felix,Screw Cap,Australia,,Excellent,Cabernet Sauvignon 2009,$47.49 in any six,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$569.88 per case of 12,$49.99 per bottle,Ranked 18 of 48 Cabernet Sauvignon from Margaret River,,,
3,13.00%,Leeuwin Estate,Screw Cap,Australia,,,Art Series Cabernet Sauvignon 2006,$84.99 per bottle,Margaret River,750mL,7.7,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 1 of 15 Cabernet Sauvignon from South West Australia,,,,,
4,14.50%,Vasse Felix,Screw Cap,Australia,,Excellent,Cabernet Sauvignon 2009,$47.49 in any six,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$569.88 per case of 12,$49.99 per bottle,Ranked 18 of 48 Cabernet Sauvignon from Margaret River,,,
5,13.50%,Cape Mentelle,Screw Cap,Australia,,,Trinders Cabernet Merlot 2011,Ranked 22 of 41 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,,
6,14.00%,Voyager Estate,Cork,Australia,2000,,Shiraz 2000,$42.75 in any six,Margaret River,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,$507.49 per case of 12,$44.99 per bottle,,,,
7,13.50%,Cape Mentelle,Cork,Australia,1994,Outstanding,Cabernet Sauvignon 1994,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
8,14.00%,Voyager Estate,Cork,Australia,2000,,Shiraz 2000,$42.75 in any six,Margaret River,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,$507.49 per case of 12,$44.99 per bottle,,,,
9,13.50%,Cape Mentelle,Cork,Australia,1994,Outstanding,Cabernet Sauvignon 1994,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
10,13.50%,Cape Mentelle,Cork,Australia,1995,Outstanding,Cabernet Sauvignon 1995,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
11,14.00%,Devil's Lair,Cork,Australia,,,Cabernet Sauvignon Merlot 2002,$47.49 in any six,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,$281.95 per case of 6,$49.99 per bottle,,,,
12,14.00%,Cullen,Cork,Australia,1999,Exceptional,Cabernet Merlot 1999,$154.99 per bottle,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,true,,
13,14.00%,Devil's Lair,Cork,Australia,,,Cabernet Sauvignon Merlot 2002,$47.49 in any six,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,$281.95 per case of 6,$49.99 per bottle,,,,
14,14.50%,Cape Mentelle,Cork,Australia,2002,Outstanding,Cabernet Sauvignon 2002,,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
15,13.50%,Devil's Lair,Cork,Australia,2003,,Cabernet Sauvignon Merlot 2003,$55.95 in any six,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,$335.70 per case of 6,$58.99 per bottle,,,,
16,14.50%,Cape Mentelle,Cork,Australia,2002,Outstanding,Cabernet Sauvignon 2002,,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
17,14%,Cherry Tree Hill,Screw Cap,Australia,2009*,,Cabernet Merlot,$20.90 in any six,,750mL,8.5,,Cabernet Sauvignon Merlot,Medium Bodied,,$250.80 per case of 12,$21.99 per bottle,Awards: Bronze - 2011 Sydney Royal Wine Show,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 111 of 137 Cabernet Sauvignon from Australia
18,14.00%,Wynns,Screw Cap,Australia,2008,Excellent,Black Label Cabernet Sauvignon 2008,$44.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$256.80 per case of 6,$42.80 in any six,Ranked 1 of 44 Cabernet Sauvignon from Coonawarra,,,
19,15.00%,Murray Street Vineyards,Screw Cap,Australia,,,Benno Shiraz Mataro 2008,$104.50 in any six,Barossa Valley,750mL,8.9,South Australia,Shiraz Mataro,,Dry,$627.00 per case of 6,$110.00 per bottle,,,,
20,13.50%,Wynns,Screw Cap,Australia,,,The Siding Cabernet 2011,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
21,14.50%,Bird In Hand,Screw Cap,Australia,,,MAC Shiraz 2010,,,750mL,8.6,,Shiraz,Full Bodied,Dry,,,,,,
22,14.50%,Henschke,Screw Cap,Australia,2006,Exceptional,Hill of Grace Shiraz 2006,Ranked 1 of 131 Shiraz from Barossa,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
23,14.20%,Evans & Tate,Screw Cap,Australia,,,Redbrook Cabernet Sauvignon 2011,$38.99 per bottle,Margaret River,750mL,8.4,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$222.60 per case of 6,$37.10 in any six,Ranked 6 of 48 Cabernet Sauvignon from Margaret River,,,
24,14.00%,Domaine A,Cork,Australia,,,Cabernet Sauvignon 2006,Ranked 26 of 234 Cabernet Sauvignon from Australia,,750mL,8.3,Tasmania,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
25,14.50%,Henschke,Screw Cap,Australia,2006,Exceptional,Hill of Grace Shiraz 2006,Ranked 1 of 131 Shiraz from Barossa,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
26,14.5,Warner Glen Estate,Screw Cap,Australia,,,Cabernet Sauvignon,$20.00 per bottle,Margaret River,750ml,8.6,,Cabernet Sauvignon,,,$239.95 per case of 12,,,,,
27,14.00%,Taylors,Screw Cap,Australia,,,Estate Jaraman Shiraz 2012,$32.30 in any six,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,$193.80 per case of 6,$33.99 per bottle,,,,
28,15.00%,Murray Street Vineyards,Screw Cap,Australia,,,Benno Shiraz Mataro 2008,$104.50 in any six,Barossa Valley,750mL,8.9,South Australia,Shiraz Mataro,,Dry,$627.00 per case of 6,$110.00 per bottle,,,,
29,14.0% (2008),Stella Bella,Screw Cap,Australia,2008*,,Tempranillo,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3 (2008),Western Australia,Tempranillo,Full Bodied,Dry,,,,,,
30,14,Schwarz,Screw Cap,Australia,2016,,GSM 2017,$29.95 per bottle,Barossa Valley,750mL,8.4,,GSM,,,$179.70 per case of 6,Ranked 15 of 28 Grenache from Barossa Valley,,,,
31,14.0% (2013),PHI,Screw Cap,Australia,2013*,,Syrah Grenache Mouvedre,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.3 (2013),Victoria,Shiraz Blends,,Dry,,,,,,
