,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic
0,14.5% (2010),Amelia Park,Screw Cap,Australia,2010*,Reserve Shiraz,$44.65 in any six,$267.90 per case of 6,$46.99 per bottle,Awards: 1 Trophie - International Wine Challenge 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Frankland River,750mL,8.6 (2010),Western Australia,Shiraz,Full Bodied,Dry,,
1,13.00%,Clonakilla,Screw Cap,Australia,2011,Shiraz Viognier 2011,$117.79 in any six,$123.99 per bottle,Ranked 2 of 55 Shiraz from Australia,,,Canberra District,750mL,7.7,New South Wales,Shiraz Viognier,,Dry,Exceptional,
2,14.00%,Jasper Hill,Cork,Australia,,Emily's Paddock Shiraz Cabernet Franc 2010,$144.99 per bottle,,,,,Heathcote,750mL,8.3,Victoria,Shiraz Cabernet Franc,,Dry,Outstanding,
3,14.00%,Jasper Hill,Cork,Australia,,Emily's Paddock Shiraz Cabernet Franc 2012,$115.99 per bottle,,,,,Heathcote,750mL,8.3,Victoria,Shiraz Cabernet Franc,,Dry,,
4,14.50%,Torbreck,Cork,Australia,,Descendant Shiraz Viognier 2000,$143.99 per bottle,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz Viognier,,Dry,Excellent,
5,14.5% (2013),The Perfect Storm,Screw Cap,Australia,2013*,Shiraz,$10.40 in any six,$62.40 per case of 6,$10.90 per bottle,Awards: Double Gold -  China Wine & Spirit Awards Best Value 2015. Gold Medal - China Wine & Spirit Awards 2015.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,
6,14.50%,Jacobs Creek,Screw Cap,Australia,,Reserve Shiraz 2011,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,
7,12.90%,Penfolds,Cork,Australia,,Grange 1985 Magnum 1.5L,"$1,700.00 per bottle",,,,,,1.5L,15.3,South Australia,Shiraz,,Dry,Exceptional,
8,14.50%,Clarendon Hills,Cork,Australia,,Astralis Syrah 1996,$550.00 per bottle,,,,,McLaren Vale,750mL,8.6,South Australia,Syrah,Full Bodied,Dry,Exceptional,
9,12.50%,Mount Mary,Cork,Australia,,Pinot Noir 1998,$119.99 per bottle,,,,,Yarra Valley,750mL,7.4,Victoria,Pinot Noir,Light Bodied,Dry,,
10,13.00%,Bass Phillip,Cork,Australia,2003,Premium Pinot Noir 2003,$199.99 per bottle,Ranked 10 of 18 Pinot Noir from Victoria,,,,Gippsland,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,Outstanding,
11,15.50%,Kaesler,Cork,Australia,2010,Old Bastard Shiraz 2010,$249.99 per bottle,,,,,Barossa Valley,750mL,9.2,South Australia,Shiraz,Full Bodied,Dry,Outstanding,
12,14.50%,Peter Lehmann,Screw Cap,Australia,,Drawcard Shiraz 2010,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,Ranked 99 of 141 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,
13,14.50%,Penfolds,Screw Cap,Australia,2008,St Henri Shiraz 2008,$90.30 in any six,$535.80 per case of 6,$94.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,South Australia,Shiraz,,Dry,Outstanding,
14,14.50%,Elderton,Screw Cap,Australia,2004,Command Shiraz 2004,$124.99 per bottle,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Excellent,
