,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 2,Price Option 3,Organic,Price Option 4,Vegan Friendly
0,14.50%,Moss Wood,Cork,Australia,2000,Exceptional,Cabernet Sauvignon 2000,$174.99 per bottle,Ranked 2 of 20 Cabernet Sauvignon from Australia,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
1,14.80%,Sorrenberg,Cork,Australia,,,Havelock Hill Shiraz 2001,$37.99 in any six,$451.09 per case of 12,Beechworth,750mL,8.8,Victoria,Shiraz,Full Bodied,Dry,$39.99 per bottle,,,,
2,14.80%,Sorrenberg,Cork,Australia,,,Havelock Hill Shiraz 2001,$37.99 in any six,$451.09 per case of 12,Beechworth,750mL,8.8,Victoria,Shiraz,Full Bodied,Dry,$39.99 per bottle,,,,
3,13.50%,Peter Lehmann,Cork,Australia,1989,Outstanding,Stonewell Shiraz 1989 Magnum 1.5L,$249.99 per bottle,"Awards: Jimmy Watson Trophy - Royal Melbourne Wine Show 1990. 8 Gold- Royal Melbourne Wine Show 1990, Hobart Wine Show 1991, Royal Melbourne Wine Show 1992, Hobart Wine Show 1992, Adelaide Wine Show 1993, Canberra Wine Show 1993, Hobart Wine Show 1993 and Royal M",Barossa Valley,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,,,
4,14.00%,Pierro,Cork,Australia,2001,,Reserve Cabernet Sauvignon Merlot 2001,$59.99 per bottle,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
5,13.50%,Rosemount,Cork,Australia,,,Balmoral Syrah 1995,$89.99 per bottle,Ranked 2 of 15 Shiraz from South Australia,McLaren Vale,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,
6,14.00%,Tim Adams,Cork,Australia,2001,Excellent,The Aberfeldy Shiraz 2001,$64.99 per bottle,,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,
7,13.00%,Bass Phillip,Cork,Australia,1991,Outstanding,Premium Pinot Noir 1991,$199.99 per bottle,,Gippsland,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
8,15.00%,Robertson's Well,Cork,Australia,2005,,Shiraz 2005,$16.15 in any six,$191.65 per case of 12,Coonawarra,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,$16.99 per bottle,,,,
9,15.00%,Saltram,Cork,Australia,,,Mamre Brook Cabernet Sauvignon 2005,$24.90 in any six,$282.00 per case of 12,Barossa Valley,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$25.90 per bottle,Ranked 4 of 15 Cabernet Sauvignon from Barossa,,,
10,15.00%,Saltram,Cork,Australia,,,Mamre Brook Cabernet Sauvignon 2005,$24.90 in any six,$282.00 per case of 12,Barossa Valley,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$25.90 per bottle,Ranked 4 of 15 Cabernet Sauvignon from Barossa,,,
11,14.00%,Clairault,Cork,Australia,2002,,Cabernet Merlot 2002,$21.90 in any six,$262.80 per case of 12,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,$21.90 per bottle,,,,
12,14.00%,Clairault,Cork,Australia,2002,,Cabernet Merlot 2002,$21.90 in any six,$262.80 per case of 12,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,$21.90 per bottle,,,,
13,15.50%,Jasper Hill,Cork,Australia,1999,Outstanding,Georgia's Paddock Shiraz 1999 375mL,$59.99 per bottle,,Heathcote,375mL,4.6,Victoria,Shiraz,Full Bodied,Dry,,,true,,
14,14.50%,Jamiesons Run,Cork,Australia,,,Cabernet Shiraz Merlot 2004,$14.25 in any six,$169.09 per case of 12,Coonawarra,750mL,8.6,South Australia,Cabernet Shiraz Merlot,,Dry,$14.99 per bottle,,,,
15,13.50%,Penfolds,Screw Cap,Australia,,,Koonunga Hill Shiraz Cabernet 2005,$14.25 in any six,$171.00 per case of 12,,750mL,8,South Australia,Shiraz Cabernet,Full Bodied,Dry,$14.99 per bottle,Ranked 2 of 24 Shiraz from Barossa Valley,,,
16,13.50%,Penfolds,Screw Cap,Australia,,,Koonunga Hill Shiraz Cabernet 2005,$14.25 in any six,$171.00 per case of 12,,750mL,8,South Australia,Shiraz Cabernet,Full Bodied,Dry,$14.99 per bottle,Ranked 2 of 24 Shiraz from Barossa Valley,,,
17,14.50%,Wirra Wirra,Screw Cap,Australia,2005,,Church Block Cabernet Shiraz Merlot 2005,$20.89 in any six,$248.05 per case of 12,McLaren Vale,750mL,8.6,South Australia,Cabernet Shiraz Merlot,,Dry,$21.99 per bottle,,,,
18,14.00%,Rymill,Cork,Australia,,,Cabernet Sauvignon 2004,$23.75 in any six,$281.89 per case of 12,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$24.99 per bottle,Ranked 2 of 30 Cabernet Sauvignon from Coonawarra,,,
19,14.00%,Wynns,Screw Cap,Australia,2006,,Shiraz 2006,$17.90 in any six,$107.40 per case of 6,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,$18.90 per bottle,,,,
20,14.00%,Wynns,Screw Cap,Australia,2006,,Shiraz 2006,$17.90 in any six,$107.40 per case of 6,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,$18.90 per bottle,,,,
21,13.00%,Yarra Yering,Cork,Australia,1996,Excellent,Dry Red No.1 1996,$99.99 per bottle,,Yarra Valley,750mL,7.7,Victoria,Red Blend,,Dry,,,,,
22,13.50%,Rouge Homme,,Australia,2005,,Cabernet Sauvignon 2005,$14.25 in any six,$84.55 per case of 6,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$14.99 per bottle,,,,
23,14.50%,Saltram,Screw Cap,Australia,,,No. 1 Shiraz 2004,$61.75 in any six,$370.50 per case of 6,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$64.99 per bottle,Ranked 32 of 64 Shiraz from Barossa Valley,,,
