,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Current Vintage,Langtons Classified,Price Option 4,Organic
0,14.00%,Annie's Lane,Screw Cap,Australia,Cabernet Merlot 2009,$19.99 per bottle,$113.94 per case of 6,$18.99 in any six,Clare Valley,750mL,8.3,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
1,14.50%,Fowles Wine,Cork,Australia,The Exception Shiraz 2004,$66.40 in any six,$398.40 per case of 6,$69.90 per bottle,Strathbogie Ranges,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Awards: Gold Medal - Victorian Wine Show 2012,,,,
2,13.5% (2015),The Realm,Screw Cap,Australia,Red Blend,$6.88 in any six,$41.28 per case of 6,$6.88 per bottle,,750mL,8 (2015),,Red Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2015*,,,
3,14.00%,Wolf Blass,Cork,Australia,Black Label Cabernet Sauvignon Shiraz 1998,$179.99 per bottle,,,,750mL,8.3,South Australia,Cabernet Sauvignon Shiraz,Full Bodied,Dry,,1998,Excellent,,
4,13.5% (2015),The Winesmiths,Cask Closure,Australia,Shiraz Cask 2L,$17.99 in any six,$102.60 per case of 6,$17.99 each,,2L,21.0 (2015),South Australia,Shiraz,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2015*,,,
5,13.50%,Wynns,Screw Cap,Australia,Michael Shiraz 2010,$113.99 in any six,$683.94 per case of 6,$119.99 per bottle,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Ranked 17 of 23 Shiraz from Coonawarra,,Outstanding,,
6,14.50%,Katnook Estate,Cork,Australia,Odyssey Cabernet Sauvignon 2008 Magnum 1.5L,$249.99 per bottle,,,Coonawarra,1.5L,17.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
7,14.0% (2012),Le Peloton,Screw Cap,Australia,Shiraz,$5.88 in any six,$70.56 per case of 12,$5.88 per bottle,,750mL,8.3 (2012),Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2012*,,,
8,13.00%,Warburn,Cask Closure,Australia,Premium Shiraz Cabernet Cask 4L,,,,,4L,41,,Shiraz Cabernet,,Dry,,Non Vintage,,,
9,14.5% (2010),Metala,Screw Cap,Australia,Black Label Original Plantings Shiraz,$40.88 in any six,$245.28 per case of 6,$40.88 per bottle,Langhorne Creek,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2010*,,Ranked 9 of 25 Shiraz from Langhorne Creek,
10,14.5% (2006),Clarendon Hills,Cork,Australia,Sandown Cabernet Sauvignon,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6 (2006),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,2006*,,,
11,14.00%,Barwang,Screw Cap,Australia,Shiraz 2007,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Hilltops,750mL,8.3,New South Wales,Shiraz,Full Bodied,Dry,,2007,,,
12,14.50%,d'Arenberg,Cork,Australia,The Dead Arm Shiraz 2002,$109.99 per bottle,Ranked 4 of 17 Shiraz from McLaren Vale,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,2002,Outstanding,,
13,15.20%,Kaesler,Cork,Australia,Old Bastard Shiraz 2002,$274.99 per bottle,,,Barossa Valley,750mL,9,South Australia,Shiraz,Full Bodied,Dry,,2002,Outstanding,,
14,13.30%,Wendouree,Cork,Australia,Cabernet Malbec 2005,$123.99 per bottle,,,Clare Valley,750mL,7.8,South Australia,Cabernet Malbec,,Dry,,2005,Outstanding,,
15,6.0% (2015),Brown Brothers,Screw Cap,Australia,Rose Gold Moscato,$83.70 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.6 (2015),,Moscato,Light Bodied,Semi Sweet,,2015*,,,
16,13.50%,Grosset,Cork,Australia,Gaia Cabernet Blend 1997,$75.99 in any six,$79.99 per bottle,,Clare Valley,750mL,8,South Australia,Cabernet Blend,,Dry,,,,,
17,14.50%,Majella,Cork,Australia,Cabernet Sauvignon 2003,$94.99 in any six,$99.99 per bottle,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
18,13.8,Henschke,Screw Cap,Australia,Cyril Henschke Cabernet Sauvignon 2010,Ranked 3 of 30 Cabernet Sauvignon from Barossa,,,Barossa Valley,750mL,8.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
19,14.50%,John Duval,Screw Cap,Australia,Plexus Shiraz Grenache Mourvedre 2008,$59.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz Grenache Mourv?dre,Full Bodied,Dry,,,,,
20,12.50%,Penfolds,Cork,Australia,Bin 747 Claret 1968,$750.00 per bottle,,,Barossa Valley,750mL,7.4,South Australia,Shiraz,Full Bodied,Dry,,,,,
21,13.50%,Penfolds,Cork,Australia,St Henri Shiraz 1988,$279.99 per bottle,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,
22,14.50%,Torbreck,Cork,Australia,Descendant Shiraz Viognier 2008,$149.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz Viognier,,Dry,,,,,
23,13.50%,Wynns,Cork,Australia,John Riddoch Cabernet Sauvignon 1994 Magnum 1.5L,$335.00 per bottle,,,Coonawarra,1.5L,15.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
24,13.50%,Grant Burge,Cork,Australia,Shadrach Cabernet Sauvignon 2008,Ranked 6 of 16 Cabernet Sauvignon from Barossa Valley,,,Barossa,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
25,13.50%,Grant Burge,Cork,Australia,Abednego Shiraz Grenache Mourvèdre 2012,$99.99 per bottle,,,Barossa Valley,750mL,8,South Australia,Shiraz Grenache Mourvèdre,,Dry,,,,,
26,15% (2015),Langmeil,Screw Cap,Australia,Fifth Wave Grenache,$27.88 in any six,$167.28 per case of 6,$27.88 per bottle,Barossa Valley,750mL,8.9 (2015),South Australia,Grenache,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2015*,,Ranked 6 of 28 Grenache from Barossa Valley,
27,13.50%,Katnook Estate,Cork,Australia,Cabernet Sauvignon 1994,$69.99 per bottle,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1994,Excellent,,
28,14.5% (2006),Stanton & Killeen,Cork,Australia,Jacks Block Shiraz,$41.79 in any six,$501.48 per case of 12,$43.99 per bottle,Rutherglen,750mL,8.6 (2006),Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2006*,,,
29,13.00%,Yeringberg,Cork,Australia,Cabernet 1995,$127.00 per bottle,,,Yarra Valley,750mL,7.7,Victoria,Cabernet Blend,Full Bodied,Dry,,,,,
30,14.50%,St Huberts,Cork,Australia,Cabernet Sauvignon 2005,$23.75 in any six,$281.89 per case of 12,$24.99 per bottle,Yarra Valley,750mL,8.6,Victoria,Cabernet Sauvignon,Full Bodied,Dry,Ranked 23 of 43 Cabernet Sauvignon from Victoria,2005,,,
31,14.50%,Barossa Valley Estate,Cork,Australia,E & E Black Pepper Shiraz 2002,$139.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,2002,Outstanding,,
32,14.00%,Bowen Estate,Cork,Australia,Cabernet Sauvignon 1998,$79.99 per bottle,,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1998,Excellent,,
33,14.50%,Rosemount,Screw Cap,Australia,Show Reserve Shiraz 2004,$16.90 in any six,$96.00 per case of 6,$17.90 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 11 of 55 Shiraz from McLaren Vale,2004,,,
34,13.00%,Lindeman's,Cork,Australia,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2004,$42.75 in any six,$253.75 per case of 6,$44.99 per bottle,Coonawarra,750mL,7.7,South Australia,Shiraz Cabernet,Full Bodied,Dry,Ranked 29 of 39 Shiraz from South Australia,2004,Excellent,,
35,13.50%,Seppelt,Screw Cap,Australia,Benno Shiraz 2005,$46.90 in any six,$281.40 per case of 6,$56.99 per bottle,Bendigo,750mL,8,Victoria,Shiraz,Full Bodied,Dry,Ranked 34 of 50 Shiraz from Central Victoria,2005,,,
36,14.00%,Penfolds,Screw Cap,Australia,Cellar Reserve Cabernet Sauvignon 2005,$189.99 in any six,"$1,127.95 per case of 6",$199.99 per bottle,Barossa Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 3 of 15 Cabernet Sauvignon from Barossa,2005,,,
37,14.00%,Clonakilla,Cork,Australia,Shiraz Viognier 2006,$144.99 per bottle,Ranked 1 of 19 Shiraz from New South Wales,,Canberra District,750mL,8.3,New South Wales,Shiraz Viognier,,Dry,,2006,Exceptional,,
38,14.00%,Leasingham,Cork,Australia,Classic Clare Shiraz 1996,$89.99 per bottle,,,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,1996,,,
39,11.50%,Howard Park,Cork,Australia,Cabernet Blend 1993,$69.99 per bottle,,,,750mL,6.8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,1993,Excellent,,
40,14.50%,Jasper Hill,Cork,Australia,Georgia's Paddock Shiraz 2001,$139.99 per bottle,,,Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,2001,Outstanding,,
41,14.00%,Penfolds,Cork,Australia,Bin 707 Cabernet Sauvignon 2004,$499.00 per bottle,Ranked 6 of 93 Cabernet Sauvignon from South Australia,,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,2004,Exceptional,,
42,12.90%,Penfolds,Screw Cap,Australia,Grange 1978,"$1,200.00 per bottle",,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,1978,Exceptional,,
43,13.60%,Penfolds,Cork,Australia,Grange 1984,$799.00 per bottle,,,,750mL,8.1,South Australia,Shiraz,Full Bodied,Dry,,1984,Exceptional,,
44,13.70%,Penfolds,Cork,Australia,Grange 1986 Magnum 1.5L,"$2,750.00 per bottle",,,,1.5L,16.2,South Australia,Shiraz,Full Bodied,Dry,,1986,Exceptional,,
45,13.50%,Rosemount,Cork,Australia,Balmoral Syrah 1993,$79.99 per bottle,,,McLaren Vale,750mL,8,South Australia,Syrah,Full Bodied,Dry,,1993,,,
46,14.20%,Turkey Flat,Cork,Australia,Shiraz 1998,$114.99 per bottle,Ranked 4 of 21 Shiraz from South Australia,,Barossa Valley,750mL,8.4,South Australia,Shiraz,Full Bodied,Dry,,1998,Excellent,,
47,15.00%,Wendouree,Cork,Australia,Cabernet Sauvignon 2001,$157.99 per bottle,,,Clare Valley,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,2001,Outstanding,,
48,13.50%,Wendouree,Cork,Australia,Shiraz Malbec 2001,$89.99 per bottle,,,Clare Valley,750mL,8,South Australia,Shiraz Malbec,,Dry,,2001,Outstanding,,
49,14.50%,Wolf Blass,Cork,Australia,Black Label Cabernet Sauvignon Shiraz 2000,$154.99 per bottle,,,,750mL,8.6,South Australia,Cabernet Shiraz,,Dry,,2000,Excellent,,
50,13.50%,Wynns,Cork,Australia,Black Label Cabernet Sauvignon 1993,$94.99 per bottle,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1993,Excellent,,
51,13.00%,Wynns,Cork,Australia,Michael Shiraz 1994,$129.99 per bottle,,,Coonawarra,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,1994,Outstanding,,
52,13.50%,Penfolds,Cork,Australia,Bin 407 Cabernet Sauvignon 1993,$159.99 per bottle,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1993,Exceptional,,
53,13.00%,Penfolds,Cork,Australia,Bin 707 Cabernet Sauvignon 1988,$599.00 per bottle,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1988,Exceptional,,
54,13.00%,Henschke,Cork,Australia,Hill of Grace Shiraz 1989,,,,Eden Valley,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,1989,Exceptional,,
55,14.00%,Petaluma,Cork,Australia,Coonawarra 2001,$83.99 per bottle,Ranked 11 of 29 Cabernet Sauvignon from Australia,,Coonawarra,750mL,8.3,South Australia,Cabernet Merlot,,Dry,,2001,Excellent,,
