,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Vegan Friendly
0,14.5% (2012),Rolling Stones,Screw Cap,Australia,2012*,50th Anniversary Shiraz,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2012),South Australia,Shiraz,Full Bodied,Dry,,,
1,13.5% (2005),Penfolds,Cork,Australia,2005*,Bin 60A Cabernet Sauvignon Shiraz,$470.25 in any six,"$2,791.80 per case of 6",$495.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.0 (2005),South Australia,Shiraz Cabernet,Full Bodied,Dry,,,
2,13.0% (2004),Munari,Cork,Australia,2004*,Schoolhouse Shiraz Viognier,$30.40 in any six,$360.89 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,7.7 (2004),Victoria,Shiraz Viognier,,Dry,,,
3,13.0% (2012),Willow Creek,Screw Cap,Australia,2012*,Pinot Noir,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2012),Victoria,Pinot Noir,Light Bodied,Dry,Ranked 46 of 75 Pinot Noir from Mornington Peninsula,,
4,13.6% (2005),Jeir Creek,Screw Cap,Australia,2005*,Shiraz Viognier,$16.90 in any six,$202.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0 (2068),New South Wales,Shiraz Viognier,,Dry,,,
5,14.00%,Kilikanoon,Cork,Australia,,Blocks Road Cabernet Sauvignon 2000,$33.25 in any six,$394.69 per case of 12,$34.99 per bottle,,Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
6,15.00%,Jacob's Creek,Cork,Australia,2004,Reserve Shiraz 2004,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
7,13.4% (2010),Shelmerdine,Screw Cap,Australia,2010,Heathcote Shiraz,$20.90 in any six,$125.40 per case of 6,$20.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,7.9 (2010),Victoria,Shiraz,Full Bodied,Dry,,,
8,13.80%,Henschke,Cork,Australia,1987,Hill Of Grace Shiraz 1987,,,,,Barossa Valley,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,
9,14.90%,Henschke,Screw Cap,Australia,,Keyneton Euphonium 2003,,,,,Barossa Valley,750mL,8.9,South Australia,Red Blend,,Dry,,Excellent,
10,14.00%,Leconfield,Screw Cap,Australia,2004,Cabernet Sauvignon 2004,$28.49 in any six,$338.29 per case of 12,$29.99 per bottle,Ranked 1 of 30 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
11,14.50%,Penfolds,Cork,Australia,,Bin 138 Old Vine Grenache Shiraz Mourvèdre 2005,$28.49 in any six,$169.15 per case of 6,$29.99 per bottle,Ranked 6 of 24 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz Mourvèdre,Medium Bodied,Dry,,,
12,13.50%,Penfolds,Cork,Australia,1995,Bin 407 Cabernet Sauvignon 1995,$159.99 per bottle,,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Excellent,
13,14.50%,Pepperjack,Cork,Australia,,Shiraz 2005,$19.95 in any six,$236.79 per case of 12,$20.99 per bottle,Ranked 73 of 112 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
14,13.50%,Penfolds,Cork,Australia,1993,Grange 1993 Magnum 1.5L,"$1,200.00 per bottle",,,,,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,
15,13.50%,Penfolds,Screw Cap,Australia,2005,Koonunga Hill Cabernet Sauvignon 2005,$14.25 in any six,$84.55 per case of 6,$14.99 per bottle,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
16,13.50%,Penfolds,Screw Cap,Australia,2004,Koonunga Hill Shiraz Cabernet 2004,$12.34 in any six,$148.08 per case of 12,$12.99 per bottle,Ranked 6 of 39 Shiraz from South Australia,,750mL,8,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,
17,13.50%,Yarra Yering,Cork,Australia,1993,Dry Red No.1 1993,$129.99 per bottle,,,,Yarra Valley,750mL,8,Victoria,Red Blend,,Dry,,Excellent,
18,13.50%,Seppelt,Screw Cap,Australia,2005,Chalambar Shiraz 2005,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,,Grampians,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,
19,14.00%,Rosemount,Cork,Australia,,Balmoral Syrah 2002,$56.95 in any six,$338.35 per case of 6,$59.99 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
20,15.00%,Saltram,Cork,Australia,,Mamre Brook Shiraz 2005,$24.90 in any six,$282.00 per case of 12,$25.90 per bottle,Ranked 88 of 112 Shiraz from Barossa Valley,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
21,14.50%,Kay Brothers Amery Vineyards,Cork,Australia,1998,Block 6 Shiraz 1998,$139.99 per bottle,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Outstanding,
