,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 2,Price Option 3,Langtons Classified,Price Option 4,Organic
0,14.0% (2012),Lenton Brae,Screw Cap,Australia,2012*,Cabernet Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 40 of 50 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3 (2012),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
1,14.0% (2009),Moondah Brook,Screw Cap,Australia,2009*,Shiraz,$11.39 in any six,$67.65 per case of 6,Margaret River,750mL,8.3 (2009),Western Australia,Shiraz,Full Bodied,Dry,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
2,14.50%,Leeuwin Estate,Screw Cap,Australia,2004,Art Series Cabernet Sauvignon 2004,$64.99 per bottle,Ranked 2 of 27 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,,
3,14.50%,Moss Wood,Cork,Australia,2004,Cabernet Savignon 2004,$175.80 in any six,$184.99 per bottle,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 4 of 27 Cabernet Sauvignon from Margaret River,,,,
4,13.8,Wendouree,Screw Cap,Australia,2009,Shiraz Mataro 2009,$99.99 per bottle,,Clare Valley,750mL,8.2,South Australia,Shiraz Mataro,,Dry,,,Outstanding,,
5,13.50%,Penfolds,Cork,Australia,1995,St Henri Shiraz 1995,$199.99 per bottle,Ranked 13 of 15 Shiraz from South Australia,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
6,14.00%,Xanadu,Screw Cap,Australia,,Stevens Road Cabernet Sauvignon 2011,,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
7,14.50%,Cape Mentelle,Screw Cap,Australia,2013*,Zinfandel,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Zinfandel,,Dry,,,,,
8,13.50%,d'Arenberg,Cork,Australia,,Dead Arm Shiraz 2008 Magnum 1.5L,"Awards: 4 Gold Medals - China Wine & Spirits Award 2013, International Critics Challenge 2012, Los Angeles International Wine & Spirits Awards 2012 and Mundus Vini International Wine Show 2011",,McLaren Vale,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,,,
9,13.50%,Cape Mentelle,Cork,Australia,1993,Cabernet Sauvignon 1993,,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Outstanding,,
10,13.00%,Wynns,Cork,Australia,1990,John Riddoch Cabernet Sauvignon 1990,$199.99 per bottle,,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
11,14.50%,Grant Burge,Screw Cap,Australia,,Corryton Park Cabernet Sauvignon 2010,$35.20 in any six,$211.20 per case of 6,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$36.99 per bottle,Ranked 27 of 30 Cabernet Sauvignon from Barossa,,,
12,14.50%,Moss Wood,Cork,Australia,2004,Cabernet Savignon 2004,$175.80 in any six,$184.99 per bottle,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 4 of 27 Cabernet Sauvignon from Margaret River,,,,
13,13.50%,Moss Wood,Screw Cap,Australia,2003,Cabernet Sauvignon 2003,$129.99 per bottle,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
14,14.00%,Moss Wood,Cork,Australia,1995,Cabernet Sauvignon 1995,$254.99 per bottle,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
15,14.00%,Xanadu,Screw Cap,Australia,,Stevens Road Cabernet Sauvignon 2011,,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
16,14.50%,Cape Mentelle,Screw Cap,Australia,2013*,Zinfandel,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Zinfandel,,Dry,,,,,
17,13.8,Wendouree,Screw Cap,Australia,2009,Shiraz Mataro 2009,$99.99 per bottle,,Clare Valley,750mL,8.2,South Australia,Shiraz Mataro,,Dry,,,Outstanding,,
18,13.50%,Penfolds,Cork,Australia,1995,St Henri Shiraz 1995,$199.99 per bottle,Ranked 13 of 15 Shiraz from South Australia,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
19,14.5% (2010),Morris,Screw Cap,Australia,2010*,Durif,$17.88 in any six,$107.28 per case of 6,Rutherglen,750mL,8.6 (2010),Victoria,Durif,,Dry,$17.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 6 of 17 Durif from Australia,
20,13.50%,Cullen,Cork,Australia,2000,Cabernet Merlot 2000,$139.99 per bottle,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,Exceptional,,true
21,14.0% (2010),Carillion,Screw Cap,Australia,2010*,Cabernet Merlot,$20.89 in any six,$250.68 per case of 12,Orange,750mL,8.3 (2010),New South Wales,Cabernet Merlot,Medium Bodied,Dry,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
22,13.50%,Moss Wood,Screw Cap,Australia,2003,Cabernet Sauvignon 2003,$129.99 per bottle,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
23,14.00%,Moss Wood,Cork,Australia,1995,Cabernet Sauvignon 1995,$254.99 per bottle,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
24,15.00%,Leeuwin Estate,Cork,Australia,1999,Art Series Cabernet Sauvignon 1999,$89.99 per bottle,,Margaret River,750mL,8.9,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,,
25,14.5% (2010),Best's Great Western,Screw Cap,Australia,2010*,Thomson Family Shiraz,$190.00 in any six,"$1,140.00 per case of 6",Grampians,750mL,8.6 (2010),Victoria,Shiraz,Full Bodied,Dry,$199.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Outstanding,Ranked 2 of 27 Shiraz from Western Victoria,
26,13.00%,Wynns,Cork,Australia,1990,John Riddoch Cabernet Sauvignon 1990,$199.99 per bottle,,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
27,14.00%,Thorn-Clark,Screw Cap,Australia,,Shotfire Quartage 2011,$27.60 in any six,$165.60 per case of 6,Barossa,750mL,8.3,South Australia,Red Blend,,Dry,$28.99 per bottle,Ranked 20 of 31 Cabernet Sauvignon from South Australia,,,
28,14.0% (2012),Brand X,Screw Cap,Australia,2012*,Red Blend,$16.20 in any six,$97.20 per case of 6,Langhorne Creek,750mL,8.3 (2012),South Australia,Shiraz Cabernet Sauvignon,,Dry,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
29,13.5% (2014),Sevenhill,Screw Cap,Australia,2014*,Inigo Cabernet Sauvignon,$11.88 in any six,$71.28 per case of 6,Clare Valley,750mL,8 (2014),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$11.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
30,13.0% (2006),Diamond Valley,Screw Cap,Australia,2006*,White Label Pinot Noir,$50.35 in any six,$302.10 per case of 6,Yarra Valley,750mL,7.8 (2006),Victoria,Pinot Noir,Light Bodied,Dry,$52.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
31,14.5% (2011),Teusner,Screw Cap,Australia,2011*,Eden Valley Cabernet Sauvignon,$28.40 in any six,$170.40 per case of 6,Eden Valley,750mL,8.6 (2011),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$29.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 7 of 15 Cabernet Sauvignon from Barossa,
32,14.50%,Penfolds,Screw Cap,Australia,2013,Bin 407 Cabernet Sauvignon 2013,Ranked 2 of 19 Cabernet Sauvignon from Barossa Valley,,,750mL,8.3,,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,,
33,13.8% (2014),Soumah,Screw Cap,Australia,2014*,Hexham Single Vineyard Syrah,$34.20 in any six,$410.40 per case of 12,Yarra Valley,750mL,8.2 (2014),Victoria,Shiraz,Full Bodied,Dry,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
34,15.40%,Torbreck,Cork,Australia,,The Factor Shiraz 2008 Magnum 1.5L,$329.99 per bottle,,Barossa Valley,1.5L,18,South Australia,Shiraz,Full Bodied,Dry,,,,,
35,14.0% (2015),Yabby Lake,Screw Cap,Australia,2015*,Single Vineyard Syrah,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.3 (2015),Victoria,Shiraz,Full Bodied,Dry,Ranked 10 of 50 Shiraz from Port Phillip,,,,
36,14.5,Bowen Estate,Cork,Australia,2012,Cabernet Sauvignon 2012,Ranked 24 of 54 Cabernet Sauvignon from Coonawarra,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
37,14.00%,Wynns,Screw Cap,Australia,,The Siding Cabernet Sauvignon 2010,$22.79 in any six,$136.74 per case of 6,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,,Dry,$23.99 per bottle,Ranked 31 of 49 Cabernet Sauvignon from Coonawarra,,,
38,13.5% (2012),Collector,Screw Cap,Australia,2012*,Sangiovese,$38.00 in any six,$228.00 per case of 6,Canberra,750mL,8.0 (2012),New South Wales,Sangiovese,Medium Bodied,Dry,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
39,14.50%,Wolf Blass,Screw Cap,Australia,,Gold Label Shiraz 2010,$27.55 in any six,$165.30 per case of 6,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$28.99 per bottle,Awards: Gold - China Wine & Spirit Awards 2013,,,
40,14.0% (2014),Hardys,Screw Cap,Australia,2014*,William Hardy Shiraz,Awards: Trophy - McLaren Vale Wine Show 2015. Gold - McLaren Vale Wine Show 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
41,14.0% (2013),Jim Barry,Screw Cap,Australia,2013*,The Cover Drive Cabernet Sauvignon Magnum 1.5L,$47.50 in any six,$285.00 per case of 6,Clare Valley,1.5L,16.6 (2013),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$50.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
42,13.0% (2015),Mayer,Cork,Australia,2015*,Close Planted Pinot Noir,$57.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2015),Victoria,Pinot Noir,Light Bodied,Dry,Ranked 9 of 74 Pinot Noir from Yarra Valley,,,,
43,14.5% (2015),Tim Smith,Screw Cap,Australia,2015*,Bugalugs Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,,,,,
44,12.00%,Banrock Station,Screw Cap,Australia,Non Vintage,White Shiraz,$5.88 in any six,$35.28 per case of 6,,750mL,7.1,,Shiraz,Light Bodied,Dry,$5.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
45,14.00%,Lindeman's,Screw Cap,Australia,,Coonawarra Trio Pyrus Cabernet Blend 2013,$39.99 per bottle,Ranked 15 of 19 Cabernet Sauvignon from Limestone Coast,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
46,13.0% (2016),Jericho,Screw Cap,Australia,2016*,Adelaide Hills Tempranillo,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2016),South Australia,Tempranillo,Full Bodied,Dry,Ranked 6 of 26 Tempranillo from South Australia,,,,
47,13.00%,Penfolds,Cork,Australia,,Bin 707 Cabernet Sauvignon 1988 Magnum 1.5L,"$1,150.00 per bottle",,,1.5L,14.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
