,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 3,Price Option 4,Langtons Classified,Price Option 5,Organic,Vegan Friendly
0,14.00%,Orlando,Cork,Australia,Lawson's Padthaway Shiraz 2004,$61.75 in any six,$370.50 per case of 6,$64.99 per bottle,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
1,13.50%,Leasingham,Screw Cap,Australia,Bin 61 Shiraz 2008,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,Clare Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,2008,Ranked 15 of 32 Shiraz from Clare Valley,,,,,
2,14.0% (2008),Greenstone,Screw Cap,Australia,Vineyard Monastrell,$21.88 in any six,$131.28 per case of 6,$21.88 per bottle,Heathcote,750mL,8.3 (2008),Victoria,Mourvèdre,,Dry,2008*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
3,14.5% (2014),Penley Estate,Screw Cap,Australia,Phoenix Cabernet Sauvignon 2013,$19.99 per bottle,$114.00 per case of 6,$19.00 in any six,Coonawarra,750mL,8.6 (2014),South Australia,Cabernet Sauvignon,Full Bodied,Dry,2014*,,,,,,
4,14.00%,Shadowfax,Screw Cap,Australia,Shiraz 2008,$24.70 in any six,$294.00 per case of 12,$25.99 per bottle,,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,,,,
5,14.5% (2016),Penfolds,Screw Cap,Australia,Bin 23 Pinot Noir 2016,$39.00 in any six,$234.00 per case of 6,$40.99 per bottle,Adelaide Hills,750mL,8.6 (2016),South Australia,Pinot Noir,Light Bodied,Dry,2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 46 Pinot Noir from Adelaide Hills,,,,
6,13.50%,Penfolds,Cork,Australia,Bin 407 Cabernet Sauvignon 1992,$159.99 per bottle,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,1992,,,Excellent,,,
7,14.50%,Penfolds,Cork,Australia,Bin 389 Cabernet Shiraz 2011,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,,750mL,8.6,South Australia,Cabernet Shiraz,,Dry,,Ranked 2 of 31 Cabernet Sauvignon from South Australia,,,,,
8,14.00%,Clarendon Hills,Cork,Australia,Brookman Cabernet Sauvignon 1998,$79.99 per bottle,,,,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
9,14.50%,Katnook Estate,Screw Cap,Australia,Prodigy Shiraz 2008 Magnum 1.5L,$229.99 per bottle,,,Coonawarra,1.5L,17.2,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
10,14.70%,Taylors,Screw Cap,Australia,Jaraman Cabernet Sauvignon 2012,$29.99 per bottle,$171.00 per case of 6,$28.50 in any six,,750mL,8.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
11,14.6% (2013),Mount Langi Ghiran,Screw Cap,Australia,The Mast Shiraz,$44.65 in any six,$267.90 per case of 6,$46.99 per bottle,Grampians,750mL,8.7 (2013),,Shiraz,Full Bodied,Dry,2013*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
12,12.60%,Penfolds,Cork,Australia,Grange Shiraz 1981 Magnum 1.5L,"$2,000.00 per bottle",,,,1.5L,14.9,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
13,13.00%,Penfolds,Cork,Australia,Bin 707 1984,$549.00 per bottle,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
14,14.00%,Rockford,Cork,Australia,Basket Press Shiraz 2010,$209.99 per bottle,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,2010,,,Exceptional,,,
15,14.5% (2010),Fowles Wine,Screw Cap,Australia,Are You Game? Cabernet Merlot,$14.90 in any six,$178.80 per case of 12,$14.90 per bottle,,750mL,8.6 (2010),Victoria,Cabernet Merlot,Medium Bodied,Dry,2010*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
16,14.50%,The Old Faithful,Cork,Australia,Top Of The Hill Shiraz 2008,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
17,14.0% (2007),Highbank,Cork,Australia,Coonawarra Single Vineyard,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3 (2007),South Australia,Cabernet Merlot Cabernet Franc,,Dry,2007*,,,,,,
18,14.00%,Wynns,Screw Cap,Australia,Cabernet Shiraz Merlot 2007,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Shiraz Merlot,,Dry,2007,Ranked 8 of 48 Cabernet Sauvignon from South Australia,,,,,
19,14.00%,Kilikanoon,Cork,Australia,Oracle Shiraz 2000,$94.99 per bottle,,,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,2000,,,Excellent,,,
20,14.50%,Torbreck,Cork,Australia,RunRig Shiraz 1998,$499.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,1998,,,Exceptional,,,
21,14.00%,Wynns,Screw Cap,Australia,Black Label Cabernet Sauvignon 2007,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2007,Ranked 1 of 22 Cabernet Sauvignon from Coonawarra,,Excellent,,,
22,14.0% (2010),Lindeman's,Screw Cap,Australia,Coonawarra Trio St George Cabernet Sauvignon,$44.88 in any six,$269.28 per case of 6,$44.88 per bottle,Coonawarra,750mL,8.3 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,2010*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 49 Cabernet Sauvignon from Coonawarra,,,,
23,13.2,Henschke,Cork,Australia,Hill of Grace Shiraz 1975,"$1,399.00 per bottle",,,Barossa Valley,750mL,7.8,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
24,13.2,Giaconda,Cork,Australia,Warner Shiraz 2006 Magnum 1.5L,$299.99 per bottle,,,Beechworth,1.5L,15.6,Victoria,Shiraz,Full Bodied,Dry,,,,,,,
25,13.30%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 1984,,,,Barossa Valley,750mL,7.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
26,13.50%,Penfolds,Cork,Australia,Bin 707 Cabernet Sauvignon 1992 Magnum 1.5L,$950.00 per bottle,,,,1.5L,16,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
27,14.20%,Rockford,Cork,Australia,Rifle Range Cabernet Sauvignon 2007,$89.99 per bottle,Ranked 2 of 99 Cabernet Sauvignon from South Australia,,Barossa Valley,750mL,8.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
28,13.50%,Wynns,Cork,Australia,Michael Shiraz 1998 Magnum 1.5L,$350.00 per bottle,,,Coonawarra,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
29,14.00%,Penfolds,Screw Cap,Australia,Bin 23 Pinot Noir 2013,$35.15 in any six,$208.65 per case of 6,$36.99 per bottle,Adelaide Hills,750mL,8.3,South Australia,Pinot Noir,Light Bodied,Dry,,Ranked 10 of 25 Pinot Noir from Adelaide Hills,,,,,
30,13.50%,Penfolds,Cork,Australia,Bin 28 1993,$89.99 per bottle,Ranked 5 of 15 Shiraz from Australia,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,,,
31,14.5% (2010),Rosemount,Screw Cap,Australia,Balmoral Syrah,$42.69 in any six,$256.14 per case of 6,$44.90 per bottle,McLaren Vale,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,2010*,"Awards: 2 Trophies & Gold Medal - 2017 International Wine Challenge , Gold Medal - 2017 Royal Adelaide Wine Show, Gold Medal - 2016 Decanter World Wine Awards","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 55 of 136 Shiraz from McLaren Vale,,
32,12.50%,Henschke,Cork,Australia,Hill of Grace Shiraz 1986,,,,Eden Valley,750mL,7.4,South Australia,Shiraz,Full Bodied,Dry,1986,,,Exceptional,,,
33,13.00%,Petaluma,Cork,Australia,Coonawarra 1993,$79.99 per bottle,,,Coonawarra,750mL,7.7,South Australia,Cabernet Merlot,,Dry,1993,,,Excellent,,,
34,14.50%,Wynns,Cork,Australia,Black Label Cabernet Sauvignon 2005,$49.99 per bottle,Ranked 21 of 34 Cabernet Sauvignon from Coonawarra,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2005,,,Excellent,,,
35,14.50%,Penfolds,Cork,Australia,Bin 407 Cabernet Sauvignon 2003,$119.99 per bottle,Ranked 3 of 48 Cabernet Sauvignon from South Australia,,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2003,,,Excellent,,,
36,13.50%,Penfolds,Cork,Australia,Kalimna Bin 28 Shiraz 1996,$89.99 per bottle,Ranked 12 of 20 Shiraz from Australia,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,1996,,,Excellent,,,
37,14.00%,Rockford,Cork,Australia,Basket Press Shiraz 1994,$199.99 per bottle,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,1994,,,Exceptional,,,
38,14.00%,St Hugo,Cork,Australia,Cabernet Sauvignon 2004,$67.99 per bottle,Ranked 5 of 30 Cabernet Sauvignon from Coonawarra,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2004,,,Excellent,,,
39,13.00%,St Hallett,Cork,Australia,Old Block Shiraz 1994,$99.99 per bottle,Ranked 6 of 20 Shiraz from Australia,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,1994,,,Excellent,,,
40,14.50%,Penfolds,Screw Cap,Australia,Kalimna Bin 28 Shiraz 2005,$66.50 in any six,$399.00 per case of 6,$69.99 per bottle,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2005,Ranked 59 of 112 Shiraz from Barossa Valley,,Excellent,,,
41,14.50%,Rockford,Cork,Australia,Basket Press Shiraz 2005,$249.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2005,,,Exceptional,,,
42,13.00%,Penfolds,Cork,Australia,Bin 920 Cabernet Shiraz 1990,$625.00 per bottle,,,Coonawarra,750mL,7.7,South Australia,Cabernet Shiraz,Full Bodied,Dry,1990,,,,,,
43,14.00%,Jasper Hill,Cork,Australia,Georgia's Paddock Shiraz 1994,$149.99 per bottle,,,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,1994,,,Outstanding,,,
44,14.00%,Seppelt,Screw Cap,Australia,Moyston Cabernet Sauvignon 2006,$27.55 in any six,$165.30 per case of 6,$28.99 per bottle,Grampians,750mL,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,2006,,,,,,
45,14.10%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 2002,,,,Eden Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2002,,,Outstanding,,,
46,,,,,Unknown,,,,,,,,,,,,,,,,,
47,13.50%,Wendouree,Cork,Australia,Shiraz Malbec 2005,$119.99 per bottle,,,Clare Valley,750mL,8,South Australia,Shiraz Malbec,,Dry,2005,,,Outstanding,,,
