,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Langtons Classified,Wine Body,Price Option 1,Price Option 2,Price Option 3,Price Option 4
0,2 x 13.5% (2012),Riddoch,Screw Cap,Australia,Cabernet Sauvignon & Shiraz Chess/Checkers Set,$50.00 each,Coonawarra,750mL,2 x 8.0 (2012),South Australia,Gift Pack,Dry,,,,,,,
1,13.00%,Penfolds,Cork,Australia,Kalimna Bin 28 Shiraz 1986,$99.99 per bottle,,750mL,7.7,South Australia,Shiraz,Dry,1986,Excellent,Full Bodied,,,,
2,,Rockford,Cork,Australia,Black Sparkling Shiraz - Disgorged 2005,$119.99 per bottle,Barossa Valley,750mL,,South Australia,Shiraz,Dry,2005,Outstanding,,,,,
3,,Rockford,Cork,Australia,Black Sparkling Shiraz - Disgorged 2005,$119.99 per bottle,Barossa Valley,750mL,,South Australia,Shiraz,Dry,2005,Outstanding,,,,,
4,14.50%,Tahbilk,Screw Cap,Australia,Cabernet Sauvignon 2005,$18.99 in any six,Goulburn Valley,750mL,8.6,Victoria,Cabernet Sauvignon,Dry,2005,,Full Bodied,$112.75 per case of 6,$19.99 per bottle,Ranked 2 of 43 Cabernet Sauvignon from Victoria,
5,15.00%,Tahbilk,Screw Cap,Australia,Shiraz 2005,$18.99 in any six,Nagambie,750mL,8.9,Victoria,Shiraz,Dry,,,Full Bodied,$112.75 per case of 6,$19.99 per bottle,,
6,14.0% (2009),Witchmount,Screw Cap,Australia,Shiraz,$18.95 in any six,,750mL,8.3 (2009),Victoria,Shiraz,Dry,2009,,Full Bodied,$227.40 per case of 12,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 21 Shiraz from Port Phillip
7,14.0% (2009),Witchmount,Screw Cap,Australia,Shiraz,$18.95 in any six,,750mL,8.3 (2009),Victoria,Shiraz,Dry,2009,,Full Bodied,$227.40 per case of 12,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 21 Shiraz from Port Phillip
8,14.50%,Grant Burge,Screw Cap,Australia,Miamba Shiraz 2006,$23.75 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$140.95 per case of 6,$24.99 per bottle,Awards: Gold - Royal Queensland Wine Show 2008,
9,14.50%,Clonakilla,Screw Cap,Australia,Hilltops Shiraz 2007,$39.99 per bottle,Canberra District,750mL,8.6,New South Wales,Shiraz,Dry,2007,,Full Bodied,,,,
10,14.50%,Clonakilla,Screw Cap,Australia,Hilltops Shiraz 2007,$39.99 per bottle,Canberra District,750mL,8.6,New South Wales,Shiraz,Dry,2007,,Full Bodied,,,,
11,14.50%,Torbreck,Cork,Australia,The Factor Shiraz 2005,$99.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Dry,2005,,Full Bodied,,,,
12,14.50%,Torbreck,Cork,Australia,The Factor Shiraz 2005,$99.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Dry,2005,,Full Bodied,,,,
13,14.0% (2008),Hardys,Screw Cap,Australia,Oomoo Grenache Shiraz Mourvedre,$14.25 in any six,McLaren Vale,750mL,8.3 (2008),South Australia,Grenache Shiraz Mourvèdre,Dry,2008*,,Medium Bodied,$84.55 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
14,13.5% (2004),Munari,Screw Cap,Australia,India Cabernet Sauvignon,$36.10 in any six,Heathcote,750mL,8.0 (2004),Victoria,Cabernet Sauvignon,Dry,2004*,,Full Bodied,$428.55 per case of 12,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
15,14.20%,St Hugo,Cork,Australia,Cabernet Sauvignon 2002,$79.99 per bottle,Coonawarra,750mL,8.4,South Australia,Cabernet Sauvignon,Dry,,Excellent,Full Bodied,,,,
