,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 4,Langtons Classified,Vegan Friendly
0,14.00%,Grant Burge,Screw Cap,Australia,Filsell Shiraz 2010,$39.89 in any six,$239.34 per case of 6,$41.99 per bottle,Ranked 68 of 141 Shiraz from Barossa Valley,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
1,14.0% (2010),S.C. Pannell,Screw Cap,Australia,Pronto Tinto,$20.88 in any six,$250.56 per case of 12,$20.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2010),South Australia,Red Blend,,Dry,2010*,Ranked 8 of 38 Grenache from South Australia,,
2,14.5% (2010),Partisan,Screw Cap,Australia,Communication Road Shiraz,$25.88 in any six,$155.28 per case of 6,$25.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,2010*,,,
3,13.0% (2015),Hardys,Screw Cap,Australia,Nottage Hill Pinot Noir,$3.88 in any six,$23.28 per case of 6,$3.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2015),,Pinot Noir,Light Bodied,Dry,2015*,,,
4,14.50%,Penfolds,Cork,Australia,Bin 389 Cabernet Shiraz 2003,$124.99 per bottle,Ranked 2 of 33 Cabernet Sauvignon from South Australia,,,Barossa Valley,750mL,8.6,South Australia,Cabernet Shiraz,Full Bodied,Dry,2003,,Outstanding,
5,14.00%,Houghton,Cork,Australia,Jack Mann Cabernet Sauvignon 2004,$119.99 per bottle,Ranked 24 of 34 Cabernet Sauvignon from South West Australia,,,Great Southern,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2004,,Excellent,
6,13.5% (2009),Ravensworth,Screw Cap,Australia,Sangiovese,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,8.0 (2009),New South Wales,Sangiovese,Medium Bodied,Dry,2009*,Ranked 17 of 31 Sangiovese from Australia,,
7,14.0% (2010),S.C. Pannell,Screw Cap,Australia,Pronto Tinto,$20.88 in any six,$250.56 per case of 12,$20.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2010),South Australia,Red Blend,,Dry,2010*,Ranked 8 of 38 Grenache from South Australia,,
8,14.5% (2008),Honey Moon Vineyard,Screw Cap,Australia,Pinot Noir,$45.59 in any six,$273.54 per case of 6,$47.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.5 (2008),South Australia,Pinot Noir,Light Bodied,Dry,2008*,,,
9,14.00%,Houghton,Cork,Australia,Jack Mann Cabernet Sauvignon 2004,$119.99 per bottle,Ranked 24 of 34 Cabernet Sauvignon from South West Australia,,,Great Southern,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2004,,Excellent,
10,14.5%,A Good Dirt,Screw Cap,Australia,A Good Dirt GMS 2016,$20.00 per bottle,$120.00 per case of 6,,,Barossa Valley,750mL,8.6,South Australia,Grenache/Mourvedre/Shiraz,Medium Bodied,Dry,2016,,,true
11,14.3%,Water Wheel,,Australia,Cabernet Sauvignon,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Bendigo,750mL,8.5,Victoria,Cabernet Sauvignon,Full Bodied,Dry,2015,,,
12,13.5,Yalumba,Screw Cap,Australia,The Strapper Grenache Shiraz Mataro 2014,$17.99 per bottle,$215.88 per case of 12,,,South Australia,750mL,8.0,South Australia,Grenache Blend,,Dry,2014,,,true
13,14.70%,Eden Hall,Screw Cap,Australia,Cabernet Sauvignon 2004,$49.40 in any six,$293.40 per case of 6,$51.99 per bottle,,Barossa Valley,750mL,8.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
14,13.50%,Wynns,Screw Cap,Australia,Black Label Shiraz 2010,Awards: Trophy & Gold Medal - 2014 International Wine Challenge; Gold Medal - 2013 China Wine & Spirit Awards; Trophy & Gold Medal - 2012 Limestone Coast Wine Show,Ranked 16 of 23 Shiraz from Coonawarra,,,Coonawarra,750mL,8,Queensland,Shiraz,Full Bodied,Dry,,,,
15,13.20%,Lake's Folly,Cork,Australia,Cabernets 1999,$149.99 per bottle,,,,Hunter Valley,750mL,7.8,New South Wales,Red Blend,,Dry,1999,,Excellent,
16,14.50%,Vasse Felix,Cork,Australia,Heytesbury Cabernet Blend 1997,$109.99 per bottle,,,,Margaret River,750mL,8.7,Western Australia,Cabernet Blends,,Dry,1997,,Outstanding,
17,13.50%,Devil's Lair,Screw Cap,Australia,Cabernet Sauvignon Merlot 2007,$54.99 per bottle,$313.50 per case of 6,$52.25 in any six,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,2007,,,
18,13.20%,Cullen,Cork,Australia,Diana Madeline Cabernet Sauvignon Merlot 2005,$179.99 per bottle,Ranked 5 of 37 Cabernet Sauvignon from Margaret River,,,Margaret River,750mL,7.8,Western Australia,Cabernet Sauvignon Merlot,Full Bodied,Dry,2005,,Exceptional,
19,13.50%,Laurance,Screw Cap,Australia,Merlot 2014,,,,,Margaret River,,8,Western Australia,Merlot,Medium Bodied,Dry,,,,
20,13.8,Laurance,Screw Cap,Australia,Icon Cabernet 2013,$14.20 in any six,$85.20 per case of 6,$14.88 per bottle,,Margaret River,750mL,,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
21,15.00%,Cape Mentelle,Cork,Australia,Cabernet Sauvignon 2001,$129.99 per bottle,,,,Margaret River,750mL,8.9,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2001,,Outstanding,
22,14.5% (2011),McHenry Hohnen,Screw Cap,Australia,Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Margaret River,750mL,8.6 (2011),Western Australia,Shiraz,Full Bodied,Dry,2011,,,
23,14.00%,Voyager Estate,Screw Cap,Australia,Cabernet Sauvignon Merlot 2007,$66.50 in any six,$399.00 per case of 6,$69.99 per bottle,Ranked 3 of 44 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,,Dry,2007,,,
24,14.50%,Moss Wood,Screw Cap,Australia,Cabernet Sauvignon 2008,$123.49 in any six,"$1,481.88 per case of 12",$129.99 per bottle,Ranked 2 of 51 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,,Dry,,,Exceptional,
25,14.50%,Vasse Felix,Cork,Australia,Cabernet Sauvignon 2000,$64.99 per bottle,,,,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2000,,Excellent,
26,14.50%,Vasse Felix,Screw Cap,Australia,Heytesbury Cabernets 2009,$124.99 per bottle,Ranked 1 of 46 Cabernet Sauvignon from Margaret River,,,Margaret River,750mL,8.6,Western Australia,Cabernet Blends,,Dry,2009,,Outstanding,
27,14.50%,Evans & Tate,Screw Cap,Australia,Metricup Road Cabernet Merlot 2011,$23.99 per bottle,$135.60 per case of 6,$22.99 in any six,,Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
28,14.00%,Xanadu,Screw Cap,Australia,Cabernet Sauvignon 2010,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,Awards: Gold Medal and Trophy - Royal Adelaide Wine Show 2013; Gold Medal - National Wine Show of Australia 2012,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Ranked 32 of 62 Cabernet Sauvignon from Margaret River,,
