,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Organic,Vegan Friendly,Price Option 5
0,14%,Barossa Valley Estate,Screw Cap,Australia,2016*,Shiraz,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,
1,14.5%,Secret Selection,,Australia,2014,Clare Valley Grenache 2014,Online Offer$14.90 per bottle,$28.50 in any six,$171.00 per case of 6,$30.00 per bottle,Clare Valley,750mL,8.6,South Australia,Grenache,,,,,,,
2,14.2%,Yarra Yering,Screw Cap,Australia,2015,Dry Red No. 2 2016,$104.50 in any six,"$1,254.00 per case of 12",$109.99 per bottle,,Yarra Valley,750mL,8.4,Victoria,Shiraz,,,Excellent,,,,
3,14.2%,Star Lane,Screw Cap,Australia,2016,Merlot 2016,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,,Beechworth,750mL,8.4,Victoria,,,,,,,,
4,14.7%,Jacob's Creek,Screw Cap,Australia,2015*,Barossa Signature Shiraz Cabernet Sauvignon,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,Awards: Blue Gold - Sydney International Wine Competition 2017,Barossa,750mL,8.7,South Australia,Shiraz Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
5,14.5%,Wirra Wirra,Screw Cap,Australia,2016*,Church Block Cabernet Shiraz Merlot 375mL,$12.35 in any six,$148.20 per case of 12,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,375mL,4.3,South Australia,Cabernet Shiraz Merlot,,Dry,,,,,
6,14%,Penfolds,Screw Cap,Australia,2017,The Creative Genius Cabernet Sauvignon,$35.90 in any six,$215.40 per case of 6,$37.80 per bottle,,,750mL,8.3,South Australia,Cabernet Sauvignon,,,,,,,
7,14%,Secret Selection,Screw Cap,Australia,2015,South Australian Merlot 2015,Online Offer$18.90 per bottle,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,Wrattonbully,750mL,8.3,South Australia,,,Dry,,,,,
8,15.0% (2016),Torbreck,Screw Cap,Australia,2016*,The Struie Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9 (2015),South Australia,Shiraz,Full Bodied,Dry,,Ranked 15 of 108 Shiraz from Barossa Valley,,,
9,14.5%,Evans & Tate,Screw Cap,Australia,2017*,Expression's Pucker Up Cabernet Sauvignon,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
10,12%,Watercolour,Screw Cap,Australia,2018*,Rosé,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,,Ros?,Light Bodied,Dry,,,,,
11,13.9%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Cabernet Merlot,$5.95 in any six,$35.70 per case of 6,$8.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.2,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
12,14.5%,Grant Burge,Screw Cap,Australia,2017,Classic Collection Shiraz,$7.95 in any six,$47.70 per case of 6,$7.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
13,13%,Artemis,Screw Cap,Australia,2017*,Pinot Noir,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,New South Wales,Pinot Noir,Light Bodied,Dry,,,,,
