,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Wine Style,Langtons Classified,Region,State,Wine Body,Price Option 3,Price Option 4,Price Option 5,Organic,Vegan Friendly
0,11.5%,Coolabah,Cask Closure,Australia,Non Vintage*,Dry Red Cask 5L,$12.99 each,$24.80 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",5L,45.0,Red Blend,Dry,,,,,,,,,
1,14.00%,Moss Wood,Cork,Australia,2002,Cabernet Sauvignon 2002,$199.99 per bottle,,,750mL,8.3,Cabernet Sauvignon,Dry,Exceptional,Margaret River,Western Australia,Full Bodied,,,,,
2,14.5%,Hardys,Screw Cap,Australia,2016*,The Chronicles 7th Green Cabernet Sauvignon,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,,Coonawarra,South Australia,Full Bodied,Awards: Trophy for The Dan Murphy's Perennial Trophy for Best Cabernet Sauvignon - Sydney Royal Wine Show 2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 18 of 21 Cabernet Sauvignon from Coonawarra,,
3,15.0% (2016),Torbreck,Cork,Australia,2016*,The Steading Grenache Shiraz Mataró,$40.85 in any six,$245.10 per case of 6,$42.99 per bottle,750mL,8.9 (2015),Grenache Shiraz Mourvèdre,Dry,,Barossa Valley,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
4,13.2%,Wynns,Screw Cap,Australia,2015,Messenger Single Vineyard Cabernet Sauvignon 2015,$63.70 in any six,$382.20 per case of 6,$66.99 per bottle,750mL,7.9,Caberent Sauvignon,,,Coonawarra,South Australia,,,,,,
5,10.5%,Stanley,,Australia,,Traditional Dry Red Cask 4L,$12.99 Each,$47.80 per case of 4,,4L,33,,Dry,,,,Medium Bodied,,,,,
6,9.5%,Golden Oak,Cask Closure,Australia,Non Vintage*,Dolce Rosso Cask 4L,$9.99 each,$19.00 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",4L,30.0,Red Blend,Sweet,,,,,,,,,
7,13.5%,Picardy,Cork,Australia,2015*,Pinot Noir,$39.89 in any six,$478.68 per case of 12,$41.99 per bottle,750mL,8.0,Pinot Noir,Dry,,Pemberton,Western Australia,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
8,14.5%,Kilikanoon,Screw Cap,Australia,2015*,Covenant Shiraz,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,750mL,8.6,Shiraz,Dry,,Clare Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 18 of 24 Shiraz from Clare Valley,,,
9,12.5%,Secret Selection,Screw Cap,Australia,2017,Adelaide Hills Rosé 2017,Online Offer$9.90 per bottle,$18.10 in any six,$217.20 per case of 12,750mL,7.4,"Tempranillo, Sangiovese",,,Adelaide Hills,South Australia,,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
10,14.2%,St Hugo,,Australia,2013,Cabernet Sauvignon Gift Box,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,750mL,8.4,Caberent Sauvignon,,,Coonawarra,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
11,13.5%,Wynns,Screw Cap,Australia,2012*,Black Label Cabernet Sauvignon 2012,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,750mL,8.0,Cabernet Sauvignon,Dry,Excellent,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
12,13.5%,Rawson's Retreat,Screw Cap,Australia,2017*,Merlot,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,750mL,8.0,Merlot,Dry,,,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
13,13.0%,Somerton,Screw Cap,Australia,2017*,Cabernet Sauvignon,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,750mL,7.7,Cabernet Sauvignon,Dry,,,,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
14,14%,Kay Brothers,Screw Cap,Australia,2013,Basket Press Shiraz 2013,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,750mL,8.3,Shiraz,,,McLaren Vale,South Australia,,,,,,
15,14.5%,Claymore,Screw Cap,Australia,2017*,Dark Side of the Moon Shiraz,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,750mL,8.6,Shiraz,Dry,,Clare Valley,South Australia,Full Bodied,Awards: Gold Medal - International Wine Challenge 2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 15 Shiraz from Mount Lofty Ranges,,
16,14.5%,Wolf Blass,,Australia,,Grey Label Shiraz 2012,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,750mL,8.6,Shiraz,Dry,,McLaren Vale,,Full Bodied,"Awards: 2 Trophies - China Wine and Spirits Awards Best Value 2015, China Wine and Spirits Awards 2014. 2 Double Gold - China Wine and Spirits Awards Best Value 2015, China Wine and Spirits Awards 2014. 2 Gold - International Wine and Spirit Competition 2014, Roy",Ranked 26 of 143 Shiraz from McLaren Vale,,,
17,14.5% (2016),Teusner,Screw Cap,Australia,2016*,The Riebke Shiraz,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,750mL,8.6 (2016),Shiraz,Dry,,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
