,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic,Vegan Friendly
0,14.5%,Leconfield,Screw Cap,Australia,2016*,Cabernet Sauvignon,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,Awards: Blue-Gold Award Judged With Food Sydney International Wine Competition 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 21 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
1,13%,Jimmy Wines,,Australia,,2017 Jimmy Pinot Noir,$16.99 per bottle,$183.50 per case of 12,,,,,Grampians,750mL,7.7,Victoria,Pinot Noir,Light Bodied,,,,
2,13.5%,McWilliam's,Screw Cap,Australia,2017*,Hanwood Estate Cabernet Sauvignon,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,Awards: Gold Medal - 2017 China Wine and Spirits awards (2016 vintage),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,
3,12%,Parlez Vous,Screw Cap,Australia,2017*,Rose?,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.1,,Rose,Light Bodied,Dry,,,
4,14.0%,De Bortoli,Screw Cap,Australia,2017*,La Bohème Act Four Syrah Gamay,$16.95 in any six,$101.70 per case of 6,$16.95 per bottle,Awards: 2 Gold Medals - International Wine Competition 2016 and Brisbane Wine Show 2016.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 59 Shiraz from Australia,Yarra Valley,750mL,8.3,Victoria,Red Blend,,Dry,,,
5,14.50%,Penfolds,Screw Cap,Australia,,Bin 150 Marananga Shiraz 2010,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,Ranked 36 of 141 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
6,13.50%,Penfolds,Cork,Australia,1993,Grange 1993,$799.00 per bottle,Ranked 10 of 15 Shiraz from Australia,,,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
7,14.0%,Bleasdale,Screw Cap,Australia,2016*,The Broad-Side Shiraz Cabernet Sauvignon Malbec,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"Awards: Gold 2017 Langhorne Creek Wine Show, Top Gold 2016 Royal Adelaide Wine Show, Top Gold 2016 Rutherglen Wine Show","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 17 Shiraz from Fleurieu,Langhorne Creek,750mL,8.3,South Australia,Cabernet Sauvignon Malbec,Full Bodied,Dry,,,
8,14.5% (2016),Moss Wood,Screw Cap,Australia,2016*,Amy's Cabernet Blend,$34.20 in any six,$410.40 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,8.6 (2016),Western Australia,Cabernet Blends,,Dry,,,
9,14.0%,Smith & Hooper,Screw Cap,Australia,2014*,Cabernet Sauvignon Merlot,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Wrattonbully,750mL,8.3,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
