,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Organic,Vegan Friendly,Langtons Classified,Price Option 5
0,14%,Kilikanoon,Screw Cap,Australia,2016*,Killermans Run Cabernet Sauvignon,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 21 Cabernet Sauvignon from Mount Lofty Ranges,Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
1,13.0% (2016),Punt Road,Screw Cap,Australia,2016*,Emperor's Prize Pinot Noir,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7 (2016),Victoria,Pinot Noir,Light Bodied,Dry,,,,
2,14.5,Organic Hill,Screw Cap,Australia,,Organic Hill Organic Preservative Free Shiraz 2017,Delivery Offer$130.00 per case of 6,$25.00 per bottle,$150.00 per case of 6,"Awards: Winestate - Best Value Buys 2018
Winestate - 3 stars 2018",,Riverland,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,true,true,,
3,14.7%,Sorby Adams,Cork,Australia,2015,The Thing Shiraz 2015,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,,,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
4,14,Michelini,Screw Cap,Australia,2016,Sangiovese,$25.00 per bottle,$300.00 per case of 6,"Awards: - James Halliday Wine Companion 2018 – 88/100 & silver medal. - - - NEV Wine Challenge – 95/100 & gold medal. Vic WS – bronze medal. 
- AAVWS – bronze medal. Wine Showcase Magazine – 91/100 & silver medal.",,,,750mL,8,Victoria,Sangiovese,Medium Bodied,,,,,
5,12.50%,Spinifex,Screw Cap,Australia,2015*,Rose,$23.80 in any six,$285.60 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,7.4,South Australia,Grenache Blend,Light Bodied,Dry,,,,
6,14%,Montara Grampians Wines,Screw Cap,Australia,,2016 Montara Grampians Shiraz,$23.99 per bottle,$287.88 per case of 12,"Awards: *95 points, James Halliday Wine Companion
GOLD- Great Australian Shiraz Challenege",,,Grampians,750mL,8.3,Victoria,Shiraz,Medium Bodied,,,,,
7,14,Riddoch,Screw Cap,Australia,2017,Merlot,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,
8,14.5%,Scarpantoni,Screw Cap,Australia,2014*,School Block Shiraz Cabernet Merlot,$18.05 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz Cabernet Merlot,,Dry,,,,
9,,,,,,Unknown,,,,,,,,,,,,,,,,
10,15%,Yarnbomb,Screw Cap,Australia,2017*,Cabernet Sauvignon,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
11,14.5%,De Bortoli,Screw Cap,Australia,2016*,Deen Vat 1 Durif,$10.99 per bottle,$63.00 per case of 6,$10.50 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,New South Wales,Durif,,Dry,,,,
12,8.0% (Non Vintage),McWilliam's,Screw Cap,Australia,Non Vintage*,Inheritance Fruitwood Pink,$5.70 in any six,$34.20 per case of 6,$5.99 per bottle,,,,750mL,4.7 (Non Vintage),,Ros?,Light Bodied,Sweet,,,,
13,13.5%,Paringa Estate,Screw Cap,Australia,2014*,Shiraz,$44.65 in any six,$535.80 per case of 12,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mornington Peninsula,750mL,8.0,Victoria,Shiraz,Full Bodied,Dry,,,Excellent,
14,14.0%,McWilliam's,Screw Cap,Australia,2015*,Hanwood Estate Cabernet Merlot,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,Awards: Gold - 2017 China Wine and Spirits awards (2015 vintage),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
15,13.5%,De Bortoli,Cask Closure,Australia,2018*,Premium Reserve Shiraz Cask 2L,$9.99 each,$57.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,2L,21.3,,Shiraz,,Dry,,,,
16,14.0% (2012),Lindeman's,Screw Cap,Australia,2012*,Coonawarra Trio Limestone Ridge Shiraz Cabernet,$52.25 in any six,$313.50 per case of 6,$54.99 per bottle,Awards: Gold Medal - Royal Perth Wine Show 2014,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3 (2012),South Australia,Shiraz Cabernet,Full Bodied,Dry,,,Excellent,Ranked 18 of 75 Shiraz from South Australia
17,13.5% (2012),Voyager Estate,Screw Cap,Australia,2012*,Cabernet Sauvignon Merlot,$62.70 in any six,$372.60 per case of 6,$65.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 50 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8 (2012),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
18,14.0%,Yarra Trail,Screw Cap,Australia,2017*,Yarra Valley Shiraz 2017,Delivery Offer$14.90 per bottle,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.3,Victoria,Shiraz,,,,,,
19,13%,Loxwood Lane,Screw Cap,Australia,2018,Pinot Noir,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,South Australia,Pinot Noir,,,,,,
20,13.5%,McWilliam's,Screw Cap,Australia,2017*,Hanwood Estate Shiraz,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,New South Wales,Shiraz,Full Bodied,Dry,,,,
21,14% (2016),St Huberts,Screw Cap,Australia,2016*,Cabernet Merlot,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.3 (2016),Victoria,Cabernet Merlot,Medium Bodied,Dry,,,,
22,11.5%,Coolabah,Cask Closure,Australia,Non Vintage*,Rosé Cask 5L,$24.80 per case of 2,$12.99 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,45.0,,Red Blend,,Dry,,,,
23,14.8%,De Bortoli Woodfired,Screw Cap,Australia,,Woodfired Heathcote Shiraz 2017,$19.00 per bottle,$114.00 per case of 6,"Awards: Gold -  2018 25th Concours International Selections Mondiales Des Vins Canada
Gold - 2018 China Wine and Spirits Awards
Gold - 2018 Rutherglen Wine Show
Silver - 2018 Decanter Asia Wine Awards
Bronze - 2018 International Wine & Spirit Competition",,,Heathcote,750mL,8.8,Victoria,Shiraz,,,,,,
24,14.0%,Thomas Hardy,Screw Cap,Australia,2013,Cabernet Sauvignon 2013,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,Ranked 17 of 334 Cabernet Sauvignon from Australia,,Margaret River,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
25,14.5%,Château Tanunda,Screw Cap,Australia,2015*,Chorus Tempranillo Grenache Graciano,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"Awards: Blue- gold Award and Top 100 wines - Sydney International Wine Competition 2014. 2 Gold Medals - China Wine & Spirits Awards 2016 and Berlin Wine Trophy 2014. 2 Silver Medals - Royal Sydney Wine Show 2014, National Wine Show of Australia 2013","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Red Blend,,Dry,,,,
26,9.00%,Bella Estate,Screw Cap,Australia,Non Vintage,Alicante Estilo,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,,,,750mL,5.6,,,Light Bodied,Dry,,,,
27,13.5%,Brokenwood,Screw Cap,Australia,2014*,Shiraz,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 670 of 755 Shiraz from Australia,,750mL,8.0,,Shiraz,Full Bodied,Dry,,,,
28,13%,Mitchell,Screw Cap,Australia,2014*,Peppertree Shiraz,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,
29,14.5%,Sidewood,Screw Cap,Australia,2016*,Shiraz,$19.90 in any six,$119.40 per case of 6,$20.90 per bottle,"Awards: 14 Gold Medals - Catavinum Wine Show Spain 2017, International Wine Awards Spain 2017, Tastings.com (Beverage Testing Institute USA) 2017, Wine Orbit New Zealand 2017, Catavinum World Wine & Spirits Competition 2015, Catavinum World Wine & Spirits Competi","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,Ranked 27 of 34 Shiraz from Adelaide Hills
30,14.5,Baily & Baily,Screw Cap,Australia,2015*,Folio Shiraz,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
31,14.5%,Thorn-Clarke,Screw Cap,Australia,2017,Sandpiper Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"Awards: Sydney International Wine Competition 2017	Blue Gold
Gold - Sydney Royal Wine Show 2013","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,Ranked 25 of 32 Shiraz from Barossa Valley
32,14.0%,Longview,Screw Cap,Australia,2015*,Riserva Nebbiolo,$46.60 in any six,$279.60 per case of 6,$48.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.3,South Australia,Nebbiolo,Full Bodied,Dry,,,,
