,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Price Option 3,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
0,15%,HAAN,Australia,Prestige Shiraz,Delivery Offer$410.00 per case of 6,$74.99 per bottle,$449.94 per case of 6,Barossa Valley,750mL,8.89,South Australia,Shiraz,,,,,,,,,,
1,,,,Unknown,,,,,,,,,,,,,,,,,,
2,14.5%,Pirramimma,Australia,Stock's Hill Cabernet Sauvignon,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
3,14.5%,McWilliam's,Australia,Single Vineyard Cabernet Sauvignon,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,Hill Tops,750mL,8.6,New South Wales,Cabernet,Screw Cap,2016*,Awards: Gold - NSW Wine Awards 2017 (2014 vintage) Gold - Royal Hobart Wine Show 2017 (2014 vintage),Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 19 Cabernet Sauvignon from New South Wales,,,
4,14.5% (2013),Paracombe,Australia,The Reuben,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,Adelaide Hills,750mL,8.6 (2013),South Australia,Red Blend,Screw Cap,2013*,"Awards: Blue Gold - 2018 Sydney International Wine Competition, 95 Points - Halliday Wine Companion",,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 42 of 63 Cabernet Sauvignon from South Australia,,,
5,10.5% (Non Vintage),Banrock Station,Australia,Fruit Fusion Rosé With Summer Berries,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,,750mL,6.2 (Non Vintage),,Fruit Wine,Screw Cap,Non Vintage*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
6,14.5%,Ingoldby,Australia,Cabernet Sauvignon,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Screw Cap,2017*,"Awards: Gold Medal, 2017 Royal Adelaide Wine Show, Class 15 - Still Wine - Red Wine - Cabernet Sauvignon - 2016 Vintage Silver Medal, 2017 McLaren Vale Wine Show, Class 14 - Commercially Available Wine - Cabernet Sauvignon 2016 or younger",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
7,14.0%,Balnaves,Australia,The Blend,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Merlot Cabernet Franc,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Dry,Ranked 27 of 47 Cabernet Sauvignon from South Australia,,,,
8,14.5% (2014),Blass,Australia,Noir Cabernet Sauvignon,$19.88 in any six,$119.28 per case of 6,$19.88 per bottle,Coonawarra,750mL,8.6 (2014),South Australia,Cabernet Sauvignon,Screw Cap,2014*,Awards: Silver Medal - San Francisco International Wine Competition 2016,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
9,14.0%,Grant Burge,Australia,Meshach Shiraz,$137.80 in any six,$826.80 per case of 6,$144.99 per bottle,Barossa,750mL,8.9,South Australia,Shiraz,Cork,2012,Awards: Gold Medal - Decanter World Wine Awards 2016,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 31 of 153 Shiraz from Barossa Valley,Outstanding,,
