,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Style,Current Vintage,Price Option 2,Price Option 3,Price Option 4,Organic,Wine Body,Price Option 5
0,13.0%,Tuck's NOW,Screw Cap,Australia,Chardonnay 2017,$25.00 per bottle,$140.00 per case of 6,Mornington Peninsula,750mL,7.7,Victoria,Chardonnay,true,Dry,,,,,,,
1,12.5%,Frankland Estate,Screw Cap,Australia,Isolation Ridge Riesling,$38.00 in any six,$239.40 per case of 6,Frankland River,750mL,7.4,Western Australia,Riesling,,Dry,2016*,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 32 Riesling from Great Southern,,,
2,,,,,Unknown,,,,,,,,,,,,,,,,
3,10.5%,Patrick of Coonawarra,Screw Cap,Australia,Aged Riesling,$32.30 in any six,$193.80 per case of 6,Coonawarra,750mL,6.2,South Australia,Riesling,,Dry,2012*,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
4,11%,Seppelt,,Australia,Drumborg Riesling 2011 Museum Release,$47.50 in any six,$285.00 per case of 6,,750mL,6.5,Victoria,Riesling,,,2011,$49.99 per bottle,,,,,
5,13.0% (2012),Barking Owl,Screw Cap,Australia,Sauvignon Blanc Semillon,$18.10 in any six,$217.20 per case of 12,,750mL,7.7 (2012),Western Australia,Sauvignon Blanc Semillon,,Dry,2012*,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
6,13.0%,Goldman Wines,,Australia,Macaw Verdelho,$18.99 per bottle,$79.99 per case of 6,Cowra,750mL,7.7,New South Wales,Verdelho,,Semi Dry,,,,,true,,
7,13.5%,Taylors Wines,Screw Cap,Australia,TWP Fiano 2017,$25.00 per bottle,$150.00 per case of 6,Clare Valley,750mL,7,South Australia,Fiano,,Dry,,"Awards: Berliner Wine Trophy 2018 Gold
World Wine Championships Awards BTI 2018 Silver
International Wine Challenge Tranche 1 2017 Silver
International Wine & Spirit Competition 2017 Bronze
Clare Valley Wine Show 2017 Bronze",,,,Light Bodied,
8,12.5,Chapman Grove,Screw Cap,Australia,Semillon Sauvignon Blanc Reserve Margaret River 2014,$29.99 per bottle,$287.90 per case of 12,,750mL,7.4,,Semillon Sauvignon B,,,,,,,,,
9,12.5%,Artisans Of Barossa,Screw Cap,Australia,Artisans Eden Valley Riesling Selection,$119.00 per bottle,$119.00 per case of 6,Eden Valley,750mL,7.4 x 6,South Australia,Riesling,,Dry,,,,,,,
10,13.5,Artiste,Screw Cap,Australia,Chardonnay 2016,$24.00 per bottle,$110.00 per case of 6,Eden Valley,750mL,8,,Chardonnay,,,2016,,,,,,
11,12,Artiste,Screw Cap,Australia,Pinot Grigio 2017,$110.00 per case of 6,$24.00 per bottle,Eden Valley,750mL,7.1,,Pinot Grigio,,Semi Dry,,,,,,,
12,11.5%,Riverbank Estate,Screw Cap,Australia,On The Run Chardonnay Semillon 2017,$18.00 per bottle,$216.00 per case of 12,Swan Valley,750mL,6.8,Western Australia,"Chardonnay, Semillon",,Dry,2017,,,,,Light Bodied,
