,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Body,Wine Style,Price Option 2,Current Vintage,Price Option 3,Price Option 4,Langtons Classified,Price Option 5,Organic
0,12.5%,Nova Vita,Screw Cap,Australia,Firebird Gruner Veltliner 2016,$22.30 per bottle,$267.60 per case of 12,Adelaide Hills,750mL,7.4,South Australia,Gruner Veltliner,true,Light Bodied,Dry,,,,,,,
1,12.5,Parish Hill Wines,Screw Cap,Australia,Grillo 2016,$25.00 per bottle,$135.00 per case of 6,Adelaide Hills Piccadilly Valley,750mL,7,,Grillo,,,,,,,,,,
2,12.5%,Nova Vita,Screw Cap,Australia,Firebird Gruner Veltliner 2016,$22.30 per bottle,$267.60 per case of 12,Adelaide Hills,750mL,7.4,South Australia,Gruner Veltliner,true,Light Bodied,Dry,,,,,,,
3,12.5,Parish Hill Wines,Screw Cap,Australia,Grillo 2016,$25.00 per bottle,$135.00 per case of 6,Adelaide Hills Piccadilly Valley,750mL,7,,Grillo,,,,,,,,,,
4,12.5,Dreaming Dog,Screw Cap,Australia,Dreaming Dog Sauvignon Blanc 2017,$15.00 per bottle,$108.00 per case of 12,,750mL,7.4,,,,,,,,,,,,
5,12.5,Artiste,Screw Cap,Australia,South Face Riesling 2016,$24.00 per bottle,$110.00 per case of 6,Eden Valley,750mL,7.4,,Riesling,,,,Awards: Blue Gold Medal - 2017 Sydney International Wine Competition,,,,,,
6,,,,,Unknown,,,,,,,,,,,,,,,,,
7,12.5,Artiste,Screw Cap,Australia,South Face Riesling 2016,$24.00 per bottle,$110.00 per case of 6,Eden Valley,750mL,7.4,,Riesling,,,,Awards: Blue Gold Medal - 2017 Sydney International Wine Competition,,,,,,
8,13.4%,Cosmo Wines,Screw Cap,Australia,2016 Yarra Valley Sauvignon Blanc,$22.00 per bottle,$95.00 per case of 6,Yarra Valley,750mL,7.9,Victoria,Sauvignon Blanc,true,Medium Bodied,Dry,,,,,,,
9,14%,Hirsch Hill Estate,Screw Cap,Australia,2016 Hirsch Hill Chardonnay,$20.00 per bottle,$120.00 per case of 6,Yarra Valley,750mL,8.3,Victoria,Chardonnay,,Light Bodied,,Awards: 2015 Chardonnay rated 95 in the Halliday Wine Companion.,,,,,,
10,11.00%,Mount Langi Ghiran,Screw Cap,Australia,Riesling 2011,$44.99 per bottle,$256.50 per case of 6,Grampians,750mL,6.5,Victoria,Riesling,,,Dry,$42.75 in any six,,,,,,
11,12.5%,Woodvale,Screw Cap,Australia,Watervale Riesling 2016,$23.80 in any six,$142.80 per case of 6,Clare Valley,750mL,7.7,South Australia,Riesling,,,,$24.99 per bottle,2016,,,,,
12,13.8%,Yering Station,,Australia,Reserve Chardonnay 2012,$114.00 in any six,$684.00 per case of 6.,Yarra Valley,750mL,8.2,Victoria,Chardonnay,,,,$119.99 per bottle,2012,"Awards: TROPHY, Best Museum Wine - Yarra Valley Wine Show 2017: 
TROPHY, The Chardonnay trophy - National Wine Show of Australia 2015:
GOLD, Yarra Valley Wine Show 2015:
SILVER, Melbourne Wine Show 2015",,,,
