,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Wine Body,Organic,Vegan Friendly
0,13.5% (2015),Ingoldby,Screw Cap,Australia,2015*,Chardonnay,$59.70 per case of 6,"Awards: Silver Medal & Top of Class, 2017 McLaren Vale Wine Show, Class 1 Commercially Available Wine - Chardonnay and Blends of Silver Medal, 2016 Royal Adelaide Wine Show, Class 1 - Still Wine - White Wine - Chardonnay - 2016 Vintage","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8 (2015),South Australia,Chardonnay,Dry,,,,,,,
1,12.5% (2015),Hardys,,Australia,2015*,Nottage Hill Sauvignon Blanc,$6.55 in any six,$39.30 per case of 6,$6.90 per bottle,,750mL,7.4 (2015),South Australia,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
2,10.5% (2013),Pirramimma,Screw Cap,Australia,2013*,Late Harvest Riesling,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,McLaren Vale,375mL,6.2 (2013),South Australia,Riesling,Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
3,14.2% (2015),Toolangi,Screw Cap,Australia,2015*,Denton Chardonnay,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,Yarra Valley,750mL,8.4 (2015),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
4,13.2% (2014),Sinapius,Screw Cap,Australia,2014*,Riesling et al,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,,750mL,7.8 (2014),Tasmania,White Blend,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
5,10.7% (2014),Jacob's Creek,Screw Cap,Australia,2014*,Steingarten Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Eden Valley,750mL,6.3 (2014),South Australia,Riesling,Dry,,,,,,,
6,13.0% (2016),Soumah,Screw Cap,Australia,2016*,Chardonnay d'Soumah,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,Yarra Valley,750mL,7.7 (2016),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 46 of 59 Chardonnay from Yarra Valley,,,,,
7,13.5%,Swings & Roundabouts,Screw Cap,Australia,2012,Backyard Series Chardonnay,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,Awards: Gold - 2018 Sydney Royal Wine Show,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
8,13.3% (2015),Soumah,Screw Cap,Australia,2015*,Single Vineyard Savarro,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,Yarra Valley,750mL,7.9 (2015),Victoria,White Blend,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
9,13.5% (2015),Saltram,Screw Cap,Australia,2015*,1859 Chardonnay,$12.30 in any six,$73.80 per case of 6,$12.90 per bottle,Eden Valley,750mL,8 (2015),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
10,13.2% (2013),Tahbilk,Screw Cap,Australia,2013*,Tower Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Central Victoria,750mL,7.8 (2013),Victoria,Chardonnay,Dry,,,,,,,
11,12.5% (2010),Tomboy Hill,Screw Cap,Australia,2010*,Rebellion Chardonnay,$433.20 per case of 12,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ballarat,750mL,7.4 (2010),Victoria,Chardonnay,Dry,,,,,,,
12,10.5% (Non Vintage),Hardys,Screw Cap,Australia,Non Vintage*,Hidden Orchard Peach & Mango,$6.55 in any six,$39.30 per case of 6,$6.90 per bottle,,750mL,6.2 (Non Vintage),,Fruit Wine,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
13,12.00%,Orlando,Screw Cap,Australia,,St Helga Riesling 2009,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Eden Valley,750mL,7.1,South Australia,Riesling,Dry,Ranked 15 of 28 Riesling from Eden Valley,,,,,,
14,13.0% (2015),McWilliam's,Screw Cap,Australia,2015*,Appellation Orange Sauvignon Blanc,$22.79 in any six,$136.74 per case of 6,$23.99 per bottle,Orange,750mL,7.7 (2015),New South Wales,Sauvignon  Blanc,Dry,"Awards: Gold Medal - Selections Monidiales des Vins Canada. 2 Silver Medals - Rutherglen Wine Show 2013, Royal Queensland Wine Show 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 16 Sauvignon Blanc from New South Wales,,,,
15,12.80%,Tyrrell's,Screw Cap,Australia,2006,Vat 47 Chardonnay 2006,$59.99 per bottle,Ranked 2 of 19 Chardonnay from Lower Hunter,,Hunter Valley,750mL,7.6,New South Wales,Chardonnay,Dry,,,,Excellent,,,
16,12.50%,O'Leary Walker,Screw Cap,Australia,,Watervale Riesling 2012,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,Ranked 15 of 66 Riesling from Clare Valley,,,,,,
17,13.50%,Giaconda,Cork,Australia,1995,Chardonnay 1995,$154.99 per bottle,,,Beechworth,750mL,8,Victoria,Chardonnay,Dry,,,,Exceptional,,,
18,12.00%,Kirrihill,Screw Cap,Australia,,Entertainer Watervale Riesling 2016,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,Clare Valley,750mL,7.1,South Australia,,Dry,,,,,,,
19,13.9%,Stone's,,Australia,,Ginger Wine Ceramic Crock 750mL,$17.88 in any six,$53.64 per case of 3,$17.88 per bottle,,750mL,8.2,,Ginger Wine,Sweet,,,,,,,
20,14.00%,Giaconda,Cork,Australia,2008,Chardonnay 2008,$199.99 per bottle,Ranked 12 of 136 Chardonnay from Victoria,,Beechworth,750mL,8.3,Victoria,Chardonnay,Dry,,,,Exceptional,,,
21,11.7% (2013),Reschke,*,Australia,2013*,Fumé Sauvignon Blanc,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,Coonawarra,750mL,6.9 (2013),South Australia,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
22,11.50%,Tyrrell's,Cork,Australia,2005,Vat 1 Semillon 2005,$119.99 per bottle,Ranked 1 of 31 Sémillon from Lower Hunter,,Hunter Valley,750mL,6.8,New South Wales,Semillon,Dry,,,,Outstanding,,,
23,12.50%,Tahbilk,Screw Cap,Australia,2008,Marsanne 2008,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,Nagambie,750mL,7.4,Victoria,Marsanne,Dry,,,,,,,
24,10.5% (2010),Vertigo,Screw Cap,Australia,2010*,25GR Riesling,$16.88 in any six,$202.56 per case of 12,$16.88 per bottle,Adelaide Hills,750mL,6.2 (2010),South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
25,11.00%,Penfolds,Screw Cap,Australia,,Bin 51 Riesling 2014,$27.55 in any six,$163.50 per case of 6,$28.99 per bottle,Eden Valley,750mL,6.5,South Australia,Riesling,Dry,,,,,,,
26,13.00%,Pewsey Vale,Screw Cap,Australia,2007,Eden Valley Riesling 2007,$20.89 in any six,$250.80 per case of 12,$21.99 per bottle,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,Ranked 18 of 25 Riesling from Eden Valley,,,,,,
27,12.50%,Leo Buring,Screw Cap,Australia,2007,Eden Valley Riesling 2007,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,,
