,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Wine Body,Price Option 5,Organic,Vegan Friendly
0,13.00%,Leo Buring,Screw Cap,Australia,2004,Eden Valley Riesling 2004,$16.90 in any six,$100.99 per case of 6,$17.90 per bottle,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,,,,,,,
1,13,Jeanneret Wines,Screw Cap,Australia,,Big Fine Girl Riesling 2016,$19.90 per bottle,$238.00 per case of 12,Ranked 48 of 66 Riesling from Clare Valley,Clare Valley,750ml,7.7,,Riesling,,,,,,,,
2,12.00%,Leeuwin Estate,Screw Cap,Australia,,Art Series Riesling 2009,$25.99 per bottle,$296.28 per case of 12,$24.69 in any six,Margaret River,750mL,7.1,Western Australia,Riesling,Dry,Ranked 17 of 29 Riesling from South West Australia,,,,,,
3,13.50%,Petaluma,Screw Cap,Australia,,Hanlin Hill Riesling 2010,$32.99 per bottle,$188.10 per case of 6,$31.35 in any six,Clare Valley,750mL,8,South Australia,Riesling,Dry,Ranked 25 of 46 Riesling from Clare Valley,Excellent,,,,,
4,12.50%,Knappstein,Screw Cap,Australia,,Handpicked Riesling 2013,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,,
5,,,,,,Unknown,,,,,,,,,,,,,,,,
6,13.5%,Cape Jaffa,Screw Cap,Australia,2018,Chardonnay,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,Limestone Coast,750mL,7.7,South Australia,Chardonnay,Dry,,,,,,,
7,15.0% (2014),Cullen,Screw Cap,Australia,2014*,Amber Semillon Sauvignon Blanc,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Margaret River,750mL,8.9 (2014),Western Australia,Semillon Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
8,10.5% (2015),Cockfighter's Ghost,Screw Cap,Australia,2015*,Semillon,$9.88 in any six,$59.28 per case of 6,$9.88 per bottle,Hunter Valley,750mL,6.8 (2014),New South Wales,Semillon,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
9,15.0% (2014),Cullen,Screw Cap,Australia,2014*,Amber Semillon Sauvignon Blanc,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Margaret River,750mL,8.9 (2014),Western Australia,Semillon Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 23 of 24 Sémillon from Margaret River,,,,
10,13.0% (2010),Giaconda,Cork,Australia,2010*,Chardonnay Magnum 1.5L,$354.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Beechworth,1.5L,15.4 (2010),Victoria,Chardonnay,Dry,,Exceptional,,,,,
11,13.4% (2015),Pacha Mama,Screw Cap,Australia,2015*,Chardonnay,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,Yarra Valley,750mL,8.0 (2015),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
12,13.4% (2015),Pacha Mama,Screw Cap,Australia,2015*,Chardonnay,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,Yarra Valley,750mL,8.0 (2015),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
13,13.0% (2012),Wyndham Estate,Screw Cap,Australia,2012*,Bin 777 Semillon Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.7 (2012),New South Wales,Semillon Sauvignon Blanc,Dry,,,,,,,
14,12.3%,Chartley Estate,Screw Cap,Australia,,Riesling 2017,$27.95 per bottle,$299.00 per case of 12,"Awards: 2017 Canberra International Riesling Challenge 
2018 Cool Climate Wine Show",Northern Tasmania,750mL,7.4,Tasmania,Riesling,Dry,,,,Medium Bodied,,,
15,12.5% (2011),Heemskerk,Screw Cap,Australia,2011*,Chardonnay,$28.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 22 of 45 Chardonnay from Tasmania,,750mL,7.4 (2011),Tasmania,Chardonnay,Dry,,,,,,,
16,11.0% (2016),Gossips,Screw Cap,Australia,2016*,Pinot Grigio,$3.45 in any six,$20.70 per case of 6,$3.45 per bottle,,750mL,6.5 (2016),,Pinot Grigio,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
17,13.0% (2012),Barwang,Screw Cap,Australia,2012*,842 Chardonnay,$26.50 in any six,$159.00 per case of 6,$27.90 per bottle,Tumbarumba,750mL,7.7 (2012),New South Wales,Chardonnay,Dry,"Awards: 1 Trophy - Canberra Regional Wine Show 2011, 6 Gold - Bathurst Cool Climate Wine Show 2011, Canberra Regional Wine Show 2011, Royal Melbourne Wine Show 2011, Royal Hobart International Wine Show 2011, Royal Queensland Wine Show 2012, Sydney Royal Wine Sho",,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
18,12.0%,Leasingham,Screw Cap,Australia,2017*,Classic Clare Riesling,$28.40 in any six,$170.40 per case of 6,$29.90 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 25 of 70 Riesling from Clare Valley,,,,
19,13.0% (2011),Parcel 88C,Screw Cap,Australia,2011*,Chardonnay,$19.90 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.7 (2011),South Australia,Chardonnay,Dry,,,,,,,
20,12.0% (2015),Akala,Screw Cap,Australia,2015*,Sauvignon Blanc,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,,750mL,7.1 (2015),,Sauvignon  Blanc,Dry,,,,,,,
21,12.5% (2015),Peter Lehmann,Screw Cap,Australia,2015*,Classic Pinot Grigio,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.4 (2015),South Australia,Pinot Grigio,Dry,,,,,,,
22,11.0% (2016),Gossips,Screw Cap,Australia,2016*,Pinot Grigio,$3.45 in any six,$20.70 per case of 6,$3.45 per bottle,,750mL,6.5 (2016),,Pinot Grigio,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
23,13.5% (2016),Rosemount,Screw Cap,Australia,2016*,Diamond Label Sauvignon Blanc,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,Adelaide Hills,750mL,8 (2016),South Australia,Sauvignon Blanc,Dry,"Awards: Silver Medal - Melbourne Wine Show 2016, Silver Medal - Rutherglen Wine Show 2016, Commended - International Wine Challenge 2017, Commended - Decanter World Wine Awards 2017",,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
24,13.0% (2013),Carillion,Screw Cap,Australia,2013*,Sauvignon Blanc,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,Orange,750mL,7.7 (2013),New South Wales,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
25,12.0% (2015),Akala,Screw Cap,Australia,2015*,Sauvignon Blanc,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,,750mL,7.1 (2015),,Sauvignon  Blanc,Dry,,,,,,,
26,12.5% (2015),The Winesmiths,Cask Closure,Australia,2015*,Pinot Grigio Cask 2L,$17.99 in any six,$102.60 per case of 6,$17.99 each,,2L,20.0 (2015),South Australia,Pinto Grigio,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
27,13.5%,Moss Wood,Screw Cap,Australia,2017*,Chardonnay,$59.85 in any six,$718.20 per case of 12,$62.99 per bottle,Margaret River,750mL,8.0,Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
28,12.0% (2013),Chancellor & Co,Screw Cap,Australia,2013*,Classic Dry White,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,,750mL,7.1 (2013),,White Blend,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
29,12.5% (2011),Shadowfax,Screw Cap,Australia,2011*,Sauvignon Blanc,$14.90 in any six,$178.80 per case of 12,$17.99 per bottle,Adelaide Hills,750mL,7.4 (2011),South Australia,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 1 of 27 Sauvignon Blanc from Adelaide Hills,,,,
30,12.00%,Richmond Grove,Screw Cap,Australia,2004,Limited Release Riesling 2004,$16.15 in any six,$95.85 per case of 6,$16.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,,,
31,15.00%,Go-Shu Blue,Screw Cap,Australia,Non Vintage,Super Premium Sake 720mL,$21.80 in any six,$22.90 per bottle,,,720mL,8.5,New South Wales,Sake,,,,,,,,
32,12.5,Chancellor & Co,Screw Cap,Australia,2018*,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.4,,Chardonnay,Dry,,,,,,,
33,13.5%,Lindeman's,Screw cap,Australia,2017*,Bin 65 Chardonnay 1L,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,1L,11,,Chardonnay,,,,,,,,
