,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Wine Body,Organic
0,12.0% (2016),Catlin,Screw Cap,Australia,2016*,Molly Mae Riesling,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.1 (2016),South Australia,Riesling,Dry,,,,,
1,12.5% (2014),Catlin,Screw Cap,Australia,2014*,Wild Ferment Riesling,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4 (2014),South Australia,Riesling,Dry,,,,,
2,12.5% (2015),Kerri Greens,Screw Cap,Australia,2015*,Chamino Field Blend,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.4 (2015),Victoria,White Blend,Dry,,,,,
3,11.00%,McGuigan,Screw Cap,Australia,,Bin 9000 Semillon 1999,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,,Hunter Valley,750mL,6.5,New South Wales,Semillon,Dry,,,,,
4,12%,Mount Langi,Screw Cap,Australia,2010,Riesling 2010,$18.90 in any six,$226.80 per case of 12,$19.88 per bottle,,Grampians,750mL,7.1,Victoria,Riesling,Dry,,,,,
5,13.5% (2014),Fowles Wine,Screw Cap,Australia,2014*,Stone Dwellers Riesling,Offer$19.99 for 2 bottles,$14.88 in any six,$89.28 per case of 6,$14.88 per bottle,Strathbogie Ranges,750mL,8 (2014),Victoria,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
6,11.5% (2013),Tolley,Screw Cap,Australia,2013*,Watercolour Riesling,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8 (2013),,Riesling,Dry,,,,,
7,12.7% (2014),Xabregas,Screw Cap,Australia,2014*,Estate Riesling,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.5 (2014),Western Australia,Riesling,Dry,,,,,
8,12.5% (2011),Bay Estates,Screw Cap,Australia,2011*,Chardonnay,$7.60 in any six,$45.60 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.4 (2011),Victoria,Chardonnay,Dry,,,,,
9,13.00%,Petaluma,Screw Cap,Australia,,Hanlin Hill Riesling 2012,Ranked 8 of 66 Riesling from Clare Valley,,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Excellent,,,
10,6.0% (2010),Wolf Blass,Screw Cap,Australia,2010*,Yellow Label Moscato,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.6 (2010),South Australia,Moscato,Semi Sweet,,,,,
