,Alcohol Volume,Brand Name,Closure,Country,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Wine Body,Vegan Friendly
0,13.60%,Tyrrell's,Cork,Australia,Excellent,Vat 47 Chardonnay 2000,$79.99 per bottle,Hunter Valley,750mL,8,New South Wales,Chardonnay,Dry,,,,,,,
1,12.00%,Penfolds,Cork,Australia,,Eden Valley Reserve Riesling 2000,$36.99 per bottle,Eden Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,,,
2,13.0% (2008),Devils Creek,Screw Cap,Australia,,Chardonnay,$7.88 in any six,King Valley,750mL,7.7 (2008),Victoria,Chardonnay,Dry,2008*,$94.56 per case of 12,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
3,11.5% (2010),d'Arenberg,Screw Cap,Australia,,The Stump Jump Sticky Chardonnay 375mL,$6.88 in any six,,375mL,3.4 (2010),South Australia,Chardonnay,Sweet,2010*,$82.56 per case of 12,$6.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 78 Chardonnay from South Australia,,
4,12.0% (2015),Taylors,Screw Cap,Australia,,Promised Land Semillon Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1 (2015),South Australia,Semillon Sauvignon Blanc,Dry,2015*,,,,,,
5,12,A Good Dirt,Screw Cap,Australia,,Riesling,$15.00 per bottle,Barossa Valley,750,7.1,South Australia,Riesling,Dry,,$90.00 per case of 6,,,,Light Bodied,
6,11.0% (2015),Penfolds,Screw Cap,Australia,,Bin 51 Eden Valley Riesling 2015,$18.88 in any six,Eden Valley,750mL,6.5 (2015),South Australia,Riesling,Dry,2015*,$113.28 per case of 6,$18.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 37 Riesling from Eden Valley,,
7,13.0% (2012),Richmond Grove,Screw Cap,Australia,,French Cask Chardonnay,$7.88 in any six,Barossa Valley,750mL,7.7 (2012),South Australia,Chardonnay,Dry,2012*,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
8,13.0% (2013),Rochecombe,Screw Cap,Australia,,Sauvignon Blanc,$8.88 in any six,Northern Tasmania,750mL,7.7 (2013),Tasmania,Sauvignon Blanc,Dry,2013*,$53.28 per case of 6,$8.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
9,12.00%,Claymore,Screw Cap,Australia,,Joshua Tree Riesling 2012,,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,,,
10,11.50%,Yalumba,Cask Closure,Australia,,Classic Fruity White Cask 2L,,,2L,18,South Australia,White Blend,Sweet,,,,,,,true
11,14.0% (2010),Ravensworth,Screw Cap,Australia,,Marsanne,$16.88 in any six,Canberra District,750mL,8.4 (2010),New South Wales,Marsanne,Dry,2010*,$202.56 per case of 12,$16.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
12,12.5% (2014),First Impressions,Screw Cap,Australia,,Chardonnay,$3.88 in any six,Limestone Coast,750mL,7.4 (2014),South Australia,Chardonnay,Dry,2014*,$46.56 per case of 12,$3.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
13,13.0% (2017),Pipers Brook,Screw Cap,Australia,,Riesling,$18.90 in any six,Northern Tasmania,750mL,7.7 (2017),Tasmania,Riesling,Dry,2017*,$113.40 per case of 6,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 56 Riesling from Tasmania,,
14,12.00%,Annie's Lane,Screw Cap,Australia,,Riesling 2009,$19.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,$113.94 per case of 6,$18.99 in any six,Ranked 32 of 41 Riesling from Clare Valley,,,
15,13,Warner Glen Esate,Screw Cap,Australia,,Chardonnay,$20.00 per bottle,Margaret River,750ml,7.7,,Chardonnay,,,$239.95 per case of 12,,,,,
16,13.30%,Laurance,Screw Cap,Australia,,Chardonnay 2014,$6.88 in any six,Margaret River,,7.9,,Chardonnay,Dry,,$41.28 per case of 6,$6.88 per bottle,,,,
17,13.50%,Leeuwin Estate,Screw Cap,Australia,Exceptional,Art Series Chardonnay 2008,$124.99 per bottle,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,,"$1,425.60 per case of 12",$118.80 in any six,Ranked 4 of 54 Chardonnay from Margaret River,,,
18,13.30%,Laurance,Screw Cap,Australia,,Chardonnay 2014,$6.88 in any six,Margaret River,,7.9,,Chardonnay,Dry,,$41.28 per case of 6,$6.88 per bottle,,,,
19,14.50%,Leeuwin Estate,Screw Cap,Australia,Exceptional,Art Series Chardonnay 2009,Ranked 1 of 65 Chardonnay from Margaret River,Margaret River,750mL,8.6,Western Australia,Chardonnay,Dry,,,,,,,
