,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Style,Region,Price Option 4,Vegan Friendly,Price Option 5,Organic,Langtons Classified,Wine Body
0,6%,Brown Brothers,Screw Cap,Australia,2018*,Moscato Gold,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,3.6,Victoria,Moscato,Semi Sweet,,,,,,,
1,12.5%,Margan,Screw Cap,Australia,2018,Chardonnay,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,New South Wales,Chardonnay,Dry,Hunter Valley,,,,,,
2,5.5% (Non Vintage),Innocent Bystander,Screw Cap,Australia,Non Vintage*,Moscato 275mL,$5.99 per bottle,$129.99 per case of 24,$21.99 per pack of 4,,275mL,1.2 (Non Vintage),Victoria,Moscato,Semi Sweet,,,,,,,
3,,,,,,Unknown,,,,,,,,,,,,,,,,
4,6%,Berri Estates,Cask Closure,Australia,Non Vintage*,Lite Fruity Lexia Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,5L,24.0,,White Blend,Sweet,,,,,,,
5,9%,Coolabah,Cask Closure,Australia,Non Vintage*,Soft Fruity White Cask 5L,$12.99 each,$24.80 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,5L,36.0,,White Blend,Sweet,,,,,,,
6,11.5% (2016),Pizzini,Screw Cap,Australia,2016*,Riesling,$16.15 in any six,$193.80 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8 (2016),Victoria,Riesling,Dry,King Valley,,,,,,
7,13.5% (2015),Paringa Estate,Screw Cap,Australia,2015*,PE Chardonnay,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2015),Victoria,Chardonnay,Dry,Mornington Peninsula,,,,,,
8,11.5,Bird In Hand,Screw Cap,Australia,,Two in the Bush Sauvignon Blanc Semillon,$20.00 per bottle,$110.00 per case of 6,,,750mL,6.8,,Sauvignon Blanc Semi,,Adelaide Hills,,,,,,
9,11.5%,Thorn-Clarke,Screw Cap,Australia,2017*,Sandpiper Pinot Gris,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,South Australia,Pinot Gris,Dry,Eden Valley,Ranked 14 of 28 Pinot Gris from South Australia,,,,,
10,9.50%,Coolabah,Cask Closure,Australia,Non Vintage,Crisp Dry White Cask 5L,$12.99 each,$24.80 per case of 2,,,5L,37.5,,White Blend,Dry,,,,,,,
11,12%,Sheep Shape,Screw Cap,Australia,2017*,Sauvignon Blanc,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,,Sauvignon Blanc,Dry,,,,,,,
