,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Region,State,Wine Style,Vegan Friendly,Wine Body,Price Option 4,Langtons Classified
0,12.50%,Tortoiseshell Bay,Screw Cap,Australia,2017*,Chardonnay,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Chardonnay,,,,,,,
1,11.0%,Sorby Adams,Screw Cap,Australia,2016*,Sweet Amelia Riesling 2016,$199.80 per case of 6,$34.99 per bottle,$33.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.5,Riesling,Eden Valley,South Australia,Sweet,,,,
2,13.5%,Yeringberg,Cork,Australia,2015*,Marsanne Rousanne,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Marsanne Rousanne,Yarra Valley,Victoria,Dry,,,,
3,12.6%,Eden Hall,Screw Cap,Australia,,Mixed Vintage 6 Pack.,$35.00 ,$180.00 per case of 6,"Awards: 2015 Vintage (92 points) James Halliday Wine Companion
2016 Vintage (91 points) James Halliday Wine Companion
2017 Vintage (95 points) James Halliday Wine Companion",,750mL,7.5,Gruner Veltliner,Eden Valley,South Australia,Dry,true,Medium Bodied,,
4,12.5%,6Ft6,Screw Cap,Australia,2017,Chardonnay,$20.00 per bottle,$114.00 per case of 6,,,750mL,7.4,Chardonnay,,Victoria,,true,,,
5,14.0,Antiquarian,Screw Cap,Australia,,Rare Field White,$55.00 per bottle,$330.00 per case of 6,Awards: Gold Medal - Wine Showcase Magazine Australia 2015,,750mL,8.3,White Blend,,,Dry,,,,
6,11.5,Springton Hills Wine,Screw Cap,Australia,2017,Springton Hills Wines Eliza's Riesling 2017,$15.83 per bottle,$189.95 per case of 12,Awards: 5 Stars - WineState Magazine,Dry White,750mL,6.8,Riesling,South Australia,South Australia,Riesling,,,,
7,12.5%,Jack Creek,Screw Cap,Australia,2017,Sauvignon Blanc,$18.00 per bottle,$108.00 per case of 6,,,750mL,7.7,Sauvignon Blanc,,South Australia,,,,,
8,,,,,,Unknown,,,,,,,,,,,,,,
9,13.0%,Trevor Jones,Screw Cap,Australia,,2015 Pinot Blanc,$82.50 per pack of 3,$150.00 per case of 6,,,750mL,7.7,Pinot Grigio,Eden Valley,South Australia,Pinot Grigio,,,,
