,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
0,Barossa Valley Estate,23.99,Shiraz,Red,Barossa,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
1,Secret Selection,59.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
2,Secret Selection,74.99,Shiraz,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
3,St Hugo,39.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
4,Penfolds,99.99,Cabernet Sauvignon,,"McLaren Vale, Robe, The Peninsulas, Barossa Valley, Wrattonbully, Adelaide Hills, Mt Benson",South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
5,Secret Selection,59.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
6,Pepperjack,18.95,Shiraz,Red,Barossa,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
7,Epic Negociants,59.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,13.5,8.0,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
8,Penfolds,99.99,Cabernet Sauvignon,,"McLaren Vale, Robe, The Peninsulas, Barossa Valley, Wrattonbully, Adelaide Hills, Mt Benson",South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
9,Krondorf,15.99,Shiraz,,Barossa  Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
10,Pepperjack,18.95,Shiraz,Red,Barossa,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
11,Penfolds,85.9,Cabernet Sauvignon,,"Barossa Valley, Coonawarra, McLaren Vale, Padthaway, Wrattonbully",South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
12,Rockcliffe,29.99,Shiraz,Red,Great Southern,Western Australia,2017.0,750.0,15.0,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
13,Gibson,29.99,Merlot,,,,2016.0,750.0,14.2,8.4,Not specified,Not specified,Medium Bodied,Not specified,Screw Cap,Not specified
14,Jacobs Creek,29.99,Shiraz,Red,Barossa  Valley,South Australia,2013.0,750.0,14.6,8.7,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
15,Wynns,33.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2016.0,750.0,13.8,8.2,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
18,Kangarilla Road,21.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
19,George Wyndham,7.95,Shiraz,Red,,New South Wales,2017.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
20,Wolf Blass,29.4,Shiraz,,Robe,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
